"logFC","AveExpr","t","P.Value","adj.P.Val","B","meanDiff","qval","logQ","signif"
-0.563415590455269,-0.0231840833924127,-6.30950119180187,2.12050773207637e-09,2.12050773207637e-09,11.0572449784518,-0.411858422618152,3.16035349893346e-06,5.5002643369861,"neg"
0.523846268846102,0.0266723025924637,6.28365783932666,2.43059553680207e-09,2.43059553680207e-09,10.9301086892457,0.473825610760238,3.16035349893346e-06,5.5002643369861,"pos"
-0.526906180267749,-0.0259217135952027,-5.93751874890814,1.46331754767528e-08,1.46331754767528e-08,9.25928046842649,-0.460491617985359,1.26844104989207e-05,4.8967297115731,"neg"
-0.508592312159183,-0.0224919137847018,-5.8141941524364,2.73204791855461e-08,2.73204791855461e-08,8.678893770215,-0.399562233116463,1.77615672124906e-05,4.7505187163892,"neg"
-0.456032941257184,-0.0179863209358886,-5.54738516916798,1.02483244825933e-07,1.02483244825933e-07,7.45143186694009,-0.319521701331666,4.94749428370797e-05,4.30561469890136,"neg"
0.510124231783829,0.0213500390126266,5.52525888731043,1.14152016808176e-07,1.14152016808176e-07,7.35141832860559,0.379277163636076,4.94749428370797e-05,4.30561469890136,"pos"
0.45940132084458,0.0210300066243613,5.43877316810737,1.73521961725783e-07,1.73521961725783e-07,6.9631701279772,0.373591882385705,5.87049437049378e-05,4.2313253240783,"pos"
-0.448443704017457,-0.0254126558391619,-5.43047197560192,1.80597485952875e-07,1.80597485952875e-07,6.92613074335077,-0.451448356672167,5.87049437049378e-05,4.2313253240783,"neg"
-0.43807959688398,-0.0198549155466318,-5.26923971772513,3.89347141682522e-07,3.89347141682522e-07,6.21470070639056,-0.352716735004862,0.000104761106723151,3.97979992222448,"neg"
-0.483713580099175,-0.0169428965776704,-5.23337486849736,4.60928539391934e-07,4.60928539391934e-07,6.0585381705184,-0.300985574497434,0.000104761106723151,3.97979992222448,"neg"
0.419096275723999,0.0258640411830683,5.22414023514561,4.81339782168598e-07,4.81339782168598e-07,6.01845344381363,0.459467084546263,0.000104761106723151,3.97979992222448,"pos"
-0.466503899213588,-0.0216327367460877,-5.2105409279093,5.13007071067922e-07,5.13007071067922e-07,5.95951627940042,-0.384299205724614,0.000104761106723151,3.97979992222448,"neg"
-0.427905106508397,-0.021413957060547,-5.19807882174408,5.43798775285317e-07,5.43798775285317e-07,5.90560532755405,-0.380412648957956,0.000104761106723151,3.97979992222448,"neg"
0.478465751999202,0.0207664360349485,5.19027228179963,5.63994866277987e-07,5.63994866277987e-07,5.87188203960007,0.368909628385561,0.000104761106723151,3.97979992222448,"pos"
0.501053575766113,0.0222464303145781,5.06779272623237,9.94546485639008e-07,9.94546485639008e-07,5.34764020018396,0.395201291470725,0.000163454587537413,3.78660288594794,"pos"
0.439033814945147,0.0211713129462919,5.05837242039333,1.03849947625283e-06,1.03849947625283e-06,5.30770018817472,0.376102147634128,0.000163454587537413,3.78660288594794,"pos"
0.472205548307972,0.0197535488710108,5.05215285027971,1.06854563077037e-06,1.06854563077037e-06,5.2813606689119,0.350915985826183,0.000163454587537413,3.78660288594794,"pos"
-0.47074249121711,-0.0215485560029545,-5.01221777860837,1.28256020114121e-06,1.28256020114121e-06,5.11280980326281,-0.3828037595819,0.000185292660351343,3.73214178322855,"neg"
-0.443250925839033,-0.0236729694156336,-4.99025336484843,1.41742479206795e-06,1.41742479206795e-06,5.02052978367156,-0.420543339030658,0.000192555508573823,3.71544405268916,"neg"
0.577068471471528,0.0221384796642539,4.98060484715948,1.48092471264412e-06,1.48092471264412e-06,4.98008845810818,0.393283579917876,0.000192555508573823,3.71544405268916,"pos"
-0.437246967419909,-0.0256003271476652,-4.94769928102191,1.71890580997588e-06,1.71890580997588e-06,4.84260584823003,-0.454782282270285,0.000212855926856575,3.67191425262676,"neg"
0.441116833433464,0.0181136130533542,4.92573669874122,1.89794276458719e-06,1.89794276458719e-06,4.75122376947219,0.32178300835958,0.000222779164908222,3.65212542834796,"pos"
-0.409052074589483,-0.0159693311738377,-4.91741684308035,1.97037752490767e-06,1.97037752490767e-06,4.7166861220562,-0.283690471441116,0.000222779164908222,3.65212542834796,"neg"
-0.403589794809927,-0.0161871410842183,-4.89092515278553,2.21930347376317e-06,2.21930347376317e-06,4.60700554764784,-0.28755980043729,0.000230033651019587,3.6382086275341,"neg"
-0.417029528232828,-0.0237059579096737,-4.88364569301749,2.2928728492756e-06,2.2928728492756e-06,4.57694539197303,-0.421129369924786,0.000230033651019587,3.6382086275341,"neg"
0.382780287090771,0.0207776609417298,4.88296081041911,2.29991485247628e-06,2.29991485247628e-06,4.57411894235226,0.369109035553091,0.000230033651019587,3.6382086275341,"pos"
-0.391140374650194,-0.0189902930952805,-4.86100769281261,2.53706552921246e-06,2.53706552921246e-06,4.48367898740083,-0.337356971457325,0.000236686397822241,3.62582669990989,"neg"
0.693521537302186,0.0290339559486898,4.86000332501835,2.54846321244665e-06,2.54846321244665e-06,4.47954867599208,0.515779688029624,0.000236686397822241,3.62582669990989,"pos"
0.553584429732946,0.0206927350318327,4.83244112211037,2.88131224807259e-06,2.88131224807259e-06,4.36645559708811,0.367600351741963,0.000257714623286911,3.5888609379387,"pos"
0.462295488078212,0.0168209420691733,4.8253835214965,2.97308519446253e-06,2.97308519446253e-06,4.33757534885823,0.298819088522956,0.000257714623286911,3.5888609379387,"pos"
0.406842069330784,0.0155821827044401,4.80440690430818,3.26285431357332e-06,3.26285431357332e-06,4.25192682944221,0.276812892749461,0.000273708920443815,3.56271104827349,"pos"
