"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","structural constituent of skin epidermis","GO:0030280","true","0.000006006421199546461","5.22138421622214","37","791","12","20196","ENSG00000135443,ENSG00000135480,ENSG00000161849,ENSG00000161850,ENSG00000167767,ENSG00000170442,ENSG00000170454,ENSG00000170465,ENSG00000170523,ENSG00000185479,ENSG00000205420,ENSG00000205426"
"GO:BP","keratinization","GO:0031424","true","0.014957230143521686","1.825148823902039","82","759","13","21017","ENSG00000167754,ENSG00000135443,ENSG00000135480,ENSG00000161849,ENSG00000161850,ENSG00000167767,ENSG00000170442,ENSG00000170454,ENSG00000170465,ENSG00000170523,ENSG00000185479,ENSG00000205420,ENSG00000205426"
"GO:BP","intermediate filament organization","GO:0045109","true","0.02286689240294634","1.6407928517445405","73","759","12","21017","ENSG00000135443,ENSG00000135480,ENSG00000161849,ENSG00000161850,ENSG00000167767,ENSG00000170442,ENSG00000170454,ENSG00000170465,ENSG00000170523,ENSG00000185479,ENSG00000205420,ENSG00000205426"
"GO:CC","keratin filament","GO:0045095","true","1.8335945329404346e-16","15.736696694606541","95","827","29","22115","ENSG00000187175,ENSG00000187766,ENSG00000188155,ENSG00000189169,ENSG00000205439,ENSG00000205445,ENSG00000212935,ENSG00000215454,ENSG00000215455,ENSG00000221837,ENSG00000221859,ENSG00000221864,ENSG00000241123,ENSG00000243489,ENSG00000272804,ENSG00000164850,ENSG00000188878,ENSG00000135443,ENSG00000135480,ENSG00000161849,ENSG00000161850,ENSG00000167767,ENSG00000170442,ENSG00000170454,ENSG00000170465,ENSG00000170523,ENSG00000185479,ENSG00000205420,ENSG00000205426"
"GO:CC","intermediate filament","GO:0005882","false","5.392255251637476e-8","7.268229557913043","217","827","31","22115","ENSG00000132688,ENSG00000187175,ENSG00000187766,ENSG00000188155,ENSG00000189169,ENSG00000205439,ENSG00000205445,ENSG00000212933,ENSG00000212935,ENSG00000215454,ENSG00000215455,ENSG00000221837,ENSG00000221859,ENSG00000221864,ENSG00000241123,ENSG00000243489,ENSG00000272804,ENSG00000164850,ENSG00000188878,ENSG00000135443,ENSG00000135480,ENSG00000161849,ENSG00000161850,ENSG00000167767,ENSG00000170442,ENSG00000170454,ENSG00000170465,ENSG00000170523,ENSG00000185479,ENSG00000205420,ENSG00000205426"
"GO:CC","intermediate filament cytoskeleton","GO:0045111","false","1.5807194347659097e-7","6.801145207073397","253","827","33","22115","ENSG00000132688,ENSG00000187175,ENSG00000187766,ENSG00000188155,ENSG00000189169,ENSG00000205439,ENSG00000205445,ENSG00000212933,ENSG00000212935,ENSG00000215454,ENSG00000215455,ENSG00000221837,ENSG00000221859,ENSG00000221864,ENSG00000241123,ENSG00000243489,ENSG00000272804,ENSG00000188566,ENSG00000164850,ENSG00000161526,ENSG00000188878,ENSG00000135443,ENSG00000135480,ENSG00000161849,ENSG00000161850,ENSG00000167767,ENSG00000170442,ENSG00000170454,ENSG00000170465,ENSG00000170523,ENSG00000185479,ENSG00000205420,ENSG00000205426"
"GO:CC","polymeric cytoskeletal fiber","GO:0099513","false","0.03519671737341775","1.4534978391664537","806","827","52","22115","ENSG00000130559,ENSG00000160345,ENSG00000076826,ENSG00000100271,ENSG00000152969,ENSG00000125337,ENSG00000130640,ENSG00000124198,ENSG00000128340,ENSG00000132688,ENSG00000186973,ENSG00000164885,ENSG00000124721,ENSG00000164627,ENSG00000187175,ENSG00000187766,ENSG00000188155,ENSG00000189169,ENSG00000205439,ENSG00000205445,ENSG00000212933,ENSG00000212935,ENSG00000215454,ENSG00000215455,ENSG00000221837,ENSG00000221859,ENSG00000221864,ENSG00000241123,ENSG00000243489,ENSG00000272804,ENSG00000167861,ENSG00000188229,ENSG00000069424,ENSG00000187017,ENSG00000164850,ENSG00000188878,ENSG00000249115,ENSG00000131165,ENSG00000198211,ENSG00000258947,ENSG00000135443,ENSG00000135480,ENSG00000161849,ENSG00000161850,ENSG00000167767,ENSG00000170442,ENSG00000170454,ENSG00000170465,ENSG00000170523,ENSG00000185479,ENSG00000205420,ENSG00000205426"
"REAC","Keratinization","REAC:R-HSA-6805567","false","0.000003197570117013562","5.495179923440958","215","458","30","10916","ENSG00000129455,ENSG00000167754,ENSG00000187175,ENSG00000187766,ENSG00000188155,ENSG00000189169,ENSG00000205439,ENSG00000205445,ENSG00000212933,ENSG00000212935,ENSG00000215454,ENSG00000215455,ENSG00000221837,ENSG00000221859,ENSG00000221864,ENSG00000241123,ENSG00000243489,ENSG00000272804,ENSG00000135443,ENSG00000135480,ENSG00000161849,ENSG00000161850,ENSG00000167767,ENSG00000170442,ENSG00000170454,ENSG00000170465,ENSG00000170523,ENSG00000185479,ENSG00000205420,ENSG00000205426"
"WP","4p16 3 copy number variation","WP:WP5365","false","0.00000379441710091885","5.42085493104595","32","342","11","8722","ENSG00000013810,ENSG00000068078,ENSG00000109685,ENSG00000163950,ENSG00000168924,ENSG00000168936,ENSG00000174137,ENSG00000185049,ENSG00000249784,ENSG00000284587,ENSG00000188986"
"TF","Factor: PHB; motif: NCCCAGCCCCY","TF:M12725","false","3.0432278240528386e-39","38.51666553399565","10004","838","609","20044","ENSG00000183888,ENSG00000184908,ENSG00000185519,ENSG00000186510,ENSG00000226490,ENSG00000226807,ENSG00000111245,ENSG00000111249,ENSG00000111252,ENSG00000204842,ENSG00000011021,ENSG00000116661,ENSG00000116663,ENSG00000116670,ENSG00000116685,ENSG00000116688,ENSG00000132879,ENSG00000162490,ENSG00000175206,ENSG00000177000,ENSG00000177674,ENSG00000204624,ENSG00000215910,ENSG00000071564,ENSG00000071655,ENSG00000079313,ENSG00000127540,ENSG00000129911,ENSG00000129968,ENSG00000130270,ENSG00000133243,ENSG00000133275,ENSG00000181588,ENSG00000185761,ENSG00000185988,ENSG00000205922,ENSG00000267059,ENSG00000107147,ENSG00000122136,ENSG00000122140,ENSG00000130559,ENSG00000130560,ENSG00000148386,ENSG00000160345,ENSG00000160349,ENSG00000165643,ENSG00000204007,ENSG00000236543,ENSG00000169925,ENSG00000196363,ENSG00000235106,ENSG00000109519,ENSG00000132405,ENSG00000173013,ENSG00000178597,ENSG00000184985,ENSG00000140538,ENSG00000140543,ENSG00000173867,ENSG00000104499,ENSG00000126233,ENSG00000167653,ENSG00000167656,ENSG00000179142,ENSG00000181790,ENSG00000197353,ENSG00000198576,ENSG00000234616,ENSG00000283992,ENSG00000163873,ENSG00000163874,ENSG00000105426,ENSG00000105428,ENSG00000127663,ENSG00000091622,ENSG00000129195,ENSG00000179314,ENSG00000013810,ENSG00000068078,ENSG00000109685,ENSG00000163950,ENSG00000168936,ENSG00000174137,ENSG00000185049,ENSG00000095319,ENSG00000188483,ENSG00000032444,ENSG00000076826,ENSG00000076924,ENSG00000076944,ENSG00000076984,ENSG00000090659,ENSG00000104918,ENSG00000104938,ENSG00000104976,ENSG00000142459,ENSG00000171017,ENSG00000174788,ENSG00000178531,ENSG00000182566,ENSG00000183019,ENSG00000183248,ENSG00000198816,ENSG00000229833,ENSG00000260001,ENSG00000267952,ENSG00000268400,ENSG00000268614,ENSG00000269711,ENSG00000056487,ENSG00000186654,ENSG00000241484,ENSG00000248405,ENSG00000062650,ENSG00000182771,ENSG00000101180,ENSG00000101181,ENSG00000101182,ENSG00000130699,ENSG00000130700,ENSG00000130701,ENSG00000130702,ENSG00000130703,ENSG00000130706,ENSG00000149679,ENSG00000171858,ENSG00000184402,ENSG00000100266,ENSG00000100290,ENSG00000100304,ENSG00000159307,ENSG00000186732,ENSG00000099992,ENSG00000099995,ENSG00000099999,ENSG00000100003,ENSG00000100012,ENSG00000100330,ENSG00000128342,ENSG00000176635,ENSG00000187860,ENSG00000239282,ENSG00000248751,ENSG00000074211,ENSG00000109501,ENSG00000152969,ENSG00000181215,ENSG00000112562,ENSG00000125337,ENSG00000153303,ENSG00000040487,ENSG00000053371,ENSG00000077549,ENSG00000127481,ENSG00000211454,ENSG00000141570,ENSG00000141582,ENSG00000167281,ENSG00000167291,ENSG00000173894,ENSG00000105472,ENSG00000129455,ENSG00000131409,ENSG00000142513,ENSG00000142515,ENSG00000161677,ENSG00000167748,ENSG00000167749,ENSG00000167751,ENSG00000167755,ENSG00000169035,ENSG00000204653,ENSG00000213023,ENSG00000235034,ENSG00000261341,ENSG00000269741,ENSG00000067606,ENSG00000116151,ENSG00000142609,ENSG00000149527,ENSG00000157911,ENSG00000157916,ENSG00000157933,ENSG00000162585,ENSG00000187730,ENSG00000122965,ENSG00000127884,ENSG00000130643,ENSG00000148803,ENSG00000148832,ENSG00000151650,ENSG00000151651,ENSG00000165828,ENSG00000171794,ENSG00000171798,ENSG00000197177,ENSG00000203772,ENSG00000214279,ENSG00000254536,ENSG00000219438,ENSG00000169427,ENSG00000124493,ENSG00000124507,ENSG00000137309,ENSG00000124126,ENSG00000162341,ENSG00000172927,ENSG00000172935,ENSG00000284713,ENSG00000287725,ENSG00000100060,ENSG00000100379,ENSG00000100385,ENSG00000128340,ENSG00000133466,ENSG00000166897,ENSG00000185264,ENSG00000278195,ENSG00000027644,ENSG00000132692,ENSG00000132694,ENSG00000143303,ENSG00000143319,ENSG00000143320,ENSG00000143321,ENSG00000163382,ENSG00000187862,ENSG00000198400,ENSG00000066322,ENSG00000117395,ENSG00000117399,ENSG00000178922,ENSG00000179178,ENSG00000186973,ENSG00000243710,ENSG00000253313,ENSG00000013374,ENSG00000033050,ENSG00000033100,ENSG00000082014,ENSG00000106615,ENSG00000127377,ENSG00000133612,ENSG00000146926,ENSG00000164867,ENSG00000164889,ENSG00000164897,ENSG00000164900,ENSG00000181652,ENSG00000187260,ENSG00000213199,ENSG00000285292,ENSG00000288608,ENSG00000136828,ENSG00000177125,ENSG00000196814,ENSG00000095981,ENSG00000112164,ENSG00000124780,ENSG00000164627,ENSG00000165953,ENSG00000196136,ENSG00000130762,ENSG00000142611,ENSG00000162591,ENSG00000221866,ENSG00000175894,ENSG00000183255,ENSG00000184787,ENSG00000184900,ENSG00000187175,ENSG00000187766,ENSG00000188155,ENSG00000189169,ENSG00000205445,ENSG00000212933,ENSG00000212935,ENSG00000215454,ENSG00000215455,ENSG00000221837,ENSG00000221859,ENSG00000221864,ENSG00000241123,ENSG00000243489,ENSG00000272804,ENSG00000123453,ENSG00000160293,ENSG00000187616,ENSG00000196990,ENSG00000197859,ENSG00000127415,ENSG00000133256,ENSG00000145214,ENSG00000145217,ENSG00000168993,ENSG00000169020,ENSG00000169026,ENSG00000174227,ENSG00000215375,ENSG00000273238,ENSG00000167280,ENSG00000173918,ENSG00000054148,ENSG00000107223,ENSG00000107317,ENSG00000127191,ENSG00000148362,ENSG00000148400,ENSG00000165716,ENSG00000169583,ENSG00000169692,ENSG00000172889,ENSG00000177943,ENSG00000177984,ENSG00000184925,ENSG00000187922,ENSG00000196642,ENSG00000204001,ENSG00000213213,ENSG00000232434,ENSG00000244187,ENSG00000267206,ENSG00000272896,ENSG00000284341,ENSG00000049239,ENSG00000171621,ENSG00000180758,ENSG00000107719,ENSG00000138316,ENSG00000166220,ENSG00000166224,ENSG00000166228,ENSG00000180644,ENSG00000106003,ENSG00000106009,ENSG00000106012,ENSG00000136295,ENSG00000146535,ENSG00000198286,ENSG00000101463,ENSG00000169021,ENSG00000063660,ENSG00000130414,ENSG00000144504,ENSG00000178602,ENSG00000143761,ENSG00000143774,ENSG00000143793,ENSG00000154342,ENSG00000154358,ENSG00000154370,ENSG00000162931,ENSG00000181873,ENSG00000198835,ENSG00000103257,ENSG00000104731,ENSG00000154118,ENSG00000109062,ENSG00000109065,ENSG00000109066,ENSG00000109089,ENSG00000161509,ENSG00000161513,ENSG00000167850,ENSG00000167861,ENSG00000172782,ENSG00000172794,ENSG00000178789,ENSG00000182040,ENSG00000183034,ENSG00000110400,ENSG00000107187,ENSG00000148396,ENSG00000148411,ENSG00000160360,ENSG00000165661,ENSG00000165684,ENSG00000187796,ENSG00000213221,ENSG00000238227,ENSG00000260220,ENSG00000289701,ENSG00000051523,ENSG00000103335,ENSG00000129993,ENSG00000141012,ENSG00000158545,ENSG00000158717,ENSG00000167513,ENSG00000167515,ENSG00000174177,ENSG00000179588,ENSG00000185669,ENSG00000205022,ENSG00000065154,ENSG00000107902,ENSG00000182022,ENSG00000229544,ENSG00000054179,ENSG00000107331,ENSG00000165802,ENSG00000176058,ENSG00000176978,ENSG00000177239,ENSG00000180549,ENSG00000184709,ENSG00000185863,ENSG00000186193,ENSG00000187609,ENSG00000187713,ENSG00000188163,ENSG00000188229,ENSG00000188566,ENSG00000188747,ENSG00000188833,ENSG00000188986,ENSG00000197355,ENSG00000197768,ENSG00000198113,ENSG00000198435,ENSG00000198569,ENSG00000212864,ENSG00000233198,ENSG00000261793,ENSG00000279073,ENSG00000284976,ENSG00000166546,ENSG00000179776,ENSG00000075043,ENSG00000101198,ENSG00000101199,ENSG00000101203,ENSG00000101210,ENSG00000196581,ENSG00000069812,ENSG00000097021,ENSG00000116237,ENSG00000116254,ENSG00000158286,ENSG00000158292,ENSG00000171680,ENSG00000187017,ENSG00000215788,ENSG00000102935,ENSG00000178882,ENSG00000179195,ENSG00000196498,ENSG00000137486,ENSG00000261594,ENSG00000148814,ENSG00000151640,ENSG00000165752,ENSG00000188385,ENSG00000087008,ENSG00000125089,ENSG00000155275,ENSG00000170801,ENSG00000148248,ENSG00000148288,ENSG00000148290,ENSG00000148291,ENSG00000148297,ENSG00000148303,ENSG00000148308,ENSG00000160271,ENSG00000160325,ENSG00000160326,ENSG00000171102,ENSG00000175164,ENSG00000198870,ENSG00000285245,ENSG00000138964,ENSG00000188636,ENSG00000188677,ENSG00000030110,ENSG00000096395,ENSG00000096433,ENSG00000137288,ENSG00000114554,ENSG00000214324,ENSG00000239620,ENSG00000085117,ENSG00000157570,ENSG00000175274,ENSG00000112787,ENSG00000182870,ENSG00000183495,ENSG00000135709,ENSG00000101152,ENSG00000101161,ENSG00000101213,ENSG00000125508,ENSG00000125520,ENSG00000125531,ENSG00000125534,ENSG00000130584,ENSG00000130589,ENSG00000130590,ENSG00000196700,ENSG00000197457,ENSG00000198276,ENSG00000203896,ENSG00000258366,ENSG00000273047,ENSG00000273154,ENSG00000129009,ENSG00000137868,ENSG00000138623,ENSG00000138629,ENSG00000140459,ENSG00000140464,ENSG00000140481,ENSG00000159289,ENSG00000167178,ENSG00000164849,ENSG00000164850,ENSG00000164853,ENSG00000164877,ENSG00000164880,ENSG00000178381,ENSG00000090316,ENSG00000127418,ENSG00000159674,ENSG00000159692,ENSG00000163945,ENSG00000178222,ENSG00000073350,ENSG00000092929,ENSG00000108479,ENSG00000132470,ENSG00000132471,ENSG00000132481,ENSG00000177303,ENSG00000182173,ENSG00000204316,ENSG00000204323,ENSG00000259120,ENSG00000266714,ENSG00000267426,ENSG00000004660,ENSG00000040531,ENSG00000074356,ENSG00000074370,ENSG00000083454,ENSG00000108405,ENSG00000127774,ENSG00000141255,ENSG00000197417,ENSG00000213977,ENSG00000257950,ENSG00000262304,ENSG00000108175,ENSG00000108179,ENSG00000165424,ENSG00000068831,ENSG00000068971,ENSG00000068976,ENSG00000110046,ENSG00000110047,ENSG00000110076,ENSG00000133895,ENSG00000149735,ENSG00000168062,ENSG00000168066,ENSG00000168067,ENSG00000171219,ENSG00000197891,ENSG00000004776,ENSG00000004777,ENSG00000011600,ENSG00000105290,ENSG00000105672,ENSG00000105679,ENSG00000126246,ENSG00000126259,ENSG00000126267,ENSG00000161249,ENSG00000161265,ENSG00000161270,ENSG00000167595,ENSG00000167604,ENSG00000188223,ENSG00000205138,ENSG00000205155,ENSG00000250799,ENSG00000267120,ENSG00000267796,ENSG00000272333,ENSG00000015413,ENSG00000075399,ENSG00000131165,ENSG00000140995,ENSG00000141002,ENSG00000158792,ENSG00000158805,ENSG00000167523,ENSG00000178773,ENSG00000185324,ENSG00000187741,ENSG00000197912,ENSG00000204991,ENSG00000258947,ENSG00000123358,ENSG00000135443,ENSG00000135480,ENSG00000161835,ENSG00000170454,ENSG00000170523,ENSG00000284791"
