Original Institue Holdout and Pre-HoldOut,,,,,,,,,,,,,,,,,,,,,,,,
,accuracy,f1,precision,recall,balanced_ac,roc_auc,tn,fp,fn,tp,roc_curve,fold,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Repeat PreHold,,,,,,,,,,,,,,,,,,,,,,,
,Type ->,Holdout Repeat,Visit,ROC_AUC,Accuracy,F1,FPR,TPR,Thresholds,tp,tn,fp,fn,Type ->,ROC_AUC,Accuracy,F1,FPR,TPR,Thresholds,tp,tn,fp,fn
,InstituteHold,0,Screen,0.928571429,0.846153846,0.833333333,"[0.0, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857, 0.2857142857142857, 1.0]","[0.0, 0.16666666666666666, 0.6666666666666666, 0.6666666666666666, 0.8333333333333334, 0.8333333333333334, 1.0, 1.0]","[inf, 0.9951839447021484, 0.7591568231582642, 0.7436277270317078, 0.5140100717544556, 0.4742876887321472, 0.28846195340156555, 0.0084070460870862]",5,6,1,1,PreHold,0.5,0.5,0.444444444,"[0.0, 0.0, 0.25, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0]","[0.0, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 1.0, 1.0]","[inf, 0.9849830865859985, 0.7788732647895813, 0.5933599472045898, 0.31719887256622314, 0.3091984987258911, 0.1159328743815422, 0.0034079875331372023, 0.0007961279479786754]",2,3,1,4
,InstituteHold,0,Day 0,0.916666667,0.75,0.727272727,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 1.0]","[0.0, 0.16666666666666666, 0.5, 0.5, 1.0, 1.0]","[inf, 0.9326826930046082, 0.6756483316421509, 0.6654231548309326, 0.17284666001796722, 0.0023811240680515766]",4,5,1,2,PreHold,0.45,0.555555556,0.5,"[0.0, 0.25, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0, 1.0]","[0.0, 0.0, 0.4, 0.4, 0.6, 0.6, 0.8, 0.8, 1.0]","[inf, 0.9857455492019653, 0.759445309638977, 0.18634098768234253, 0.10968000441789627, 0.0659932941198349, 0.0032792759593576193, 0.0024332678876817226, 0.0019020575564354658]",2,3,1,3
,InstituteHold,0,Adj Wk 1,0.85,0.777777778,0.8,"[0.0, 0.0, 0.0, 0.75, 0.75, 1.0]","[0.0, 0.2, 0.8, 0.8, 1.0, 1.0]","[inf, 0.9923491477966309, 0.7494849562644958, 0.10977066308259964, 0.03708955645561218, 0.005113102030009031]",4,3,1,1,PreHold,0.416666667,0.428571429,0.333333333,"[0.0, 0.0, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0]","[0.0, 0.25, 0.25, 0.75, 0.75, 1.0]","[inf, 0.9971915483474731, 0.33942627906799316, 0.06798958778381348, 0.04536699876189232, 0.002337800804525614]",1,2,1,3
,InstituteHold,0,Overall,0.896193772,0.794117647,0.787878788,"[0.0, 0.0, 0.0, 0.058823529411764705, 0.058823529411764705, 0.17647058823529413, 0.17647058823529413, 0.23529411764705882, 0.23529411764705882, 0.6470588235294118, 0.6470588235294118, 1.0]","[0.0, 0.058823529411764705, 0.5882352941176471, 0.5882352941176471, 0.6470588235294118, 0.6470588235294118, 0.7647058823529411, 0.7647058823529411, 0.9411764705882353, 0.9411764705882353, 1.0, 1.0]","[inf, 0.9951839447021484, 0.7494849562644958, 0.7436277270317078, 0.6756483316421509, 0.6654231548309326, 0.5140100717544556, 0.4742876887321472, 0.17284666001796722, 0.04073886573314667, 0.03708955645561218, 0.0023811240680515766]",13,14,3,4,PreHold,0.496969697,0.5,0.434782609,"[0.0, 0.0, 0.09090909090909091, 0.09090909090909091, 0.18181818181818182, 0.18181818181818182, 0.45454545454545453, 0.45454545454545453, 0.5454545454545454, 0.5454545454545454, 0.6363636363636364, 0.6363636363636364, 0.8181818181818182, 0.8181818181818182, 0.9090909090909091, 0.9090909090909091, 1.0]","[0.0, 0.06666666666666667, 0.06666666666666667, 0.2, 0.2, 0.3333333333333333, 0.3333333333333333, 0.4, 0.4, 0.4666666666666667, 0.4666666666666667, 0.7333333333333333, 0.7333333333333333, 0.8666666666666667, 0.8666666666666667, 1.0, 1.0]","[inf, 0.9971915483474731, 0.9857455492019653, 0.9303190112113953, 0.7788732647895813, 0.5933599472045898, 0.31719887256622314, 0.3091984987258911, 0.18634098768234253, 0.1254870891571045, 0.1159328743815422, 0.06798958778381348, 0.04536699876189232, 0.0032792759593576193, 0.0024332678876817226, 0.0019020575564354658, 0.0007961279479786754]",5,8,3,10
,InstituteHold,1,Screen,0.928571429,0.8,0.842105263,"[0.0, 0.0, 0.0, 0.2857142857142857, 0.2857142857142857, 1.0]","[0.0, 0.125, 0.75, 0.75, 1.0, 1.0]","[inf, 0.9949721693992615, 0.7691320180892944, 0.7418459057807922, 0.7183408737182617, 0.008838019333779812]",8,4,3,0,PreHold,0.785714286,0.777777778,0.5,"[0.0, 0.0, 0.42857142857142855, 0.42857142857142855, 1.0]","[0.0, 0.5, 0.5, 1.0, 1.0]","[inf, 0.996817946434021, 0.3287430703639984, 0.2697572708129883, 0.0010319325374439359]",1,6,1,1
,InstituteHold,1,Day 0,0.854166667,0.714285714,0.777777778,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 1.0]","[0.0, 0.125, 0.5, 0.5, 0.75, 0.75, 0.875, 0.875, 1.0, 1.0]","[inf, 0.9971169233322144, 0.934605598449707, 0.9076597094535828, 0.7906373143196106, 0.7609187364578247, 0.6436479091644287, 0.5953348875045776, 0.33384862542152405, 0.008203405886888504]",7,3,3,1,PreHold,1,0.875,0.8,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.5, 1.0, 1.0]","[inf, 0.9784690737724304, 0.6997054815292358, 0.0008063410641625524]",2,5,1,0
,InstituteHold,1,Adj Wk 1,0.95,0.777777778,0.8,"[0.0, 0.0, 0.0, 0.25, 0.25, 1.0]","[0.0, 0.2, 0.8, 0.8, 1.0, 1.0]","[inf, 0.9992339611053467, 0.8144577145576477, 0.601196825504303, 0.2110099345445633, 0.006247322075068951]",4,3,1,1,PreHold,0.916666667,0.857142857,0.8,"[0.0, 0.0, 0.0, 0.25, 0.25, 1.0]","[0.0, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0]","[inf, 0.9971745610237122, 0.9745857119560242, 0.10401809215545654, 0.08999549597501755, 0.002426219405606389]",2,4,0,1
,InstituteHold,1,Overall,0.910364146,0.763157895,0.808510638,"[0.0, 0.0, 0.0, 0.058823529411764705, 0.058823529411764705, 0.23529411764705882, 0.23529411764705882, 0.4117647058823529, 0.4117647058823529, 1.0]","[0.0, 0.047619047619047616, 0.47619047619047616, 0.47619047619047616, 0.7619047619047619, 0.7619047619047619, 0.9047619047619048, 0.9047619047619048, 1.0, 1.0]","[inf, 0.9992339611053467, 0.934605598449707, 0.9076597094535828, 0.7691320180892944, 0.7418459057807922, 0.6436479091644287, 0.5953348875045776, 0.2110099345445633, 0.006247322075068951]",19,10,7,2,PreHold,0.899159664,0.833333333,0.714285714,"[0.0, 0.0, 0.0, 0.058823529411764705, 0.058823529411764705, 0.29411764705882354, 0.29411764705882354, 0.35294117647058826, 0.35294117647058826, 1.0]","[0.0, 0.14285714285714285, 0.5714285714285714, 0.5714285714285714, 0.7142857142857143, 0.7142857142857143, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]","[inf, 0.9971745610237122, 0.9745857119560242, 0.9310349225997925, 0.6997054815292358, 0.2730541229248047, 0.2697572708129883, 0.10401809215545654, 0.08999549597501755, 0.0008063410641625524]",5,15,2,2
,InstituteHold,2,Screen,0.952380952,0.769230769,0.8,"[0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 1.0]","[0.0, 0.14285714285714285, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]","[inf, 0.9976082444190979, 0.9044654965400696, 0.7294270396232605, 0.4625890851020813, 0.0008957720128819346]",6,4,2,1,PreHold,0.761904762,0.7,0.571428571,"[0.0, 0.0, 0.0, 0.7142857142857143, 0.7142857142857143, 1.0]","[0.0, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0]","[inf, 0.9991801381111145, 0.9586837291717529, 0.017742853611707687, 0.012358523905277252, 0.0006621361244469881]",2,5,2,1
,InstituteHold,2,Day 0,0.828571429,0.75,0.8,"[0.0, 0.0, 0.0, 0.4, 0.4, 1.0]","[0.0, 0.14285714285714285, 0.5714285714285714, 0.5714285714285714, 1.0, 1.0]","[inf, 0.9981745481491089, 0.9626610279083252, 0.9276069402694702, 0.4718499779701233, 0.0046789273619651794]",6,3,2,1,PreHold,0.714285714,0.7,0.571428571,"[0.0, 0.0, 0.0, 0.8571428571428571, 0.8571428571428571, 1.0]","[0.0, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0]","[inf, 0.9993605613708496, 0.824111819267273, 0.0011075253132730722, 0.0009318364900536835, 0.00022501192870549858]",2,5,2,1
,InstituteHold,2,Adj Wk 1,0.9,0.777777778,0.8,"[0.0, 0.0, 0.0, 0.5, 0.5, 1.0]","[0.0, 0.2, 0.8, 0.8, 1.0, 1.0]","[inf, 0.9993893504142761, 0.8990700244903564, 0.1820451021194458, 0.14799228310585022, 0.002777890767902136]",4,3,1,1,PreHold,1,1,1,"[0.0, 0.0, 1.0]","[0.0, 1.0, 1.0]","[inf, 0.9997215867042542, 0.00019738053379114717]",1,5,0,0
,InstituteHold,2,Overall,0.905263158,0.764705882,0.8,"[0.0, 0.0, 0.0, 0.13333333333333333, 0.13333333333333333, 0.2, 0.2, 0.3333333333333333, 0.3333333333333333, 0.4, 0.4, 1.0]","[0.0, 0.05263157894736842, 0.5789473684210527, 0.5789473684210527, 0.7894736842105263, 0.7894736842105263, 0.8421052631578947, 0.8421052631578947, 0.9473684210526315, 0.9473684210526315, 1.0, 1.0]","[inf, 0.9993893504142761, 0.9493453502655029, 0.9276069402694702, 0.8232680559158325, 0.8098185062408447, 0.8091807961463928, 0.647307276725769, 0.4625890851020813, 0.1820451021194458, 0.14799228310585022, 0.0008957720128819346]",16,10,5,3,PreHold,0.804511278,0.769230769,0.625,"[0.0, 0.0, 0.0, 0.10526315789473684, 0.10526315789473684, 0.5263157894736842, 0.5263157894736842, 0.7368421052631579, 0.7368421052631579, 1.0]","[0.0, 0.14285714285714285, 0.5714285714285714, 0.5714285714285714, 0.7142857142857143, 0.7142857142857143, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]","[inf, 0.9997215867042542, 0.9586837291717529, 0.9479493498802185, 0.824111819267273, 0.017742853611707687, 0.012358523905277252, 0.0011075253132730722, 0.0009318364900536835, 0.00019738053379114717]",5,15,4,2
,InstituteHold,3,Screen,0.971428571,0.916666667,0.933333333,"[0.0, 0.0, 0.0, 0.2, 0.2, 1.0]","[0.0, 0.14285714285714285, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]","[inf, 0.9995791912078857, 0.9129815101623535, 0.9061094522476196, 0.7754708528518677, 0.0034033337142318487]",7,4,1,0,PreHold,0.44,0.4,0.4,"[0.0, 0.0, 0.4, 0.4, 0.8, 0.8, 1.0]","[0.0, 0.2, 0.2, 0.4, 0.4, 1.0, 1.0]","[inf, 0.9991649985313416, 0.9296380281448364, 0.9104705452919006, 0.30205103754997253, 0.02259667217731476, 0.005796571262180805]",2,2,3,3
,InstituteHold,3,Day 0,0.928571429,0.818181818,0.857142857,"[0.0, 0.0, 0.0, 0.25, 0.25, 1.0]","[0.0, 0.14285714285714285, 0.7142857142857143, 0.7142857142857143, 1.0, 1.0]","[inf, 0.9980689287185669, 0.8816049098968506, 0.8712270855903625, 0.11306781321763992, 0.006816341541707516]",6,3,1,1,PreHold,0.5,0.444444444,0.444444444,"[0.0, 0.0, 0.6, 0.6, 0.8, 0.8, 1.0]","[0.0, 0.25, 0.25, 0.75, 0.75, 1.0, 1.0]","[inf, 0.9994596242904663, 0.9218767285346985, 0.2777669131755829, 0.06529241055250168, 0.007151477504521608, 0.004143599420785904]",2,2,3,2
,InstituteHold,3,Adj Wk 1,1,0.833333333,0.857142857,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.25, 1.0, 1.0]","[inf, 0.9993928670883179, 0.07573609054088593, 0.0021752300672233105]",3,2,0,1,PreHold,0.72,0.7,0.666666667,"[0.0, 0.0, 0.2, 0.2, 0.8, 0.8, 1.0]","[0.0, 0.2, 0.2, 0.8, 0.8, 1.0, 1.0]","[inf, 0.9997885823249817, 0.9967046976089478, 0.32354578375816345, 0.016710378229618073, 0.006294709630310535, 0.0050116535276174545]",3,4,1,2
,InstituteHold,3,Overall,0.954545455,0.862068966,0.888888889,"[0.0, 0.0, 0.0, 0.09090909090909091, 0.09090909090909091, 0.18181818181818182, 0.18181818181818182, 1.0]","[0.0, 0.05555555555555555, 0.7222222222222222, 0.7222222222222222, 0.7777777777777778, 0.7777777777777778, 1.0, 1.0]","[inf, 0.9995791912078857, 0.9129815101623535, 0.9061094522476196, 0.8816049098968506, 0.8712270855903625, 0.07573609054088593, 0.0021752300672233105]",16,9,2,2,PreHold,0.561904762,0.517241379,0.5,"[0.0, 0.0, 0.0, 0.26666666666666666, 0.26666666666666666, 0.4, 0.4, 0.4666666666666667, 0.4666666666666667, 0.5333333333333333, 0.5333333333333333, 0.7333333333333333, 0.7333333333333333, 0.8, 0.8, 1.0]","[0.0, 0.07142857142857142, 0.21428571428571427, 0.21428571428571427, 0.2857142857142857, 0.2857142857142857, 0.42857142857142855, 0.42857142857142855, 0.5714285714285714, 0.5714285714285714, 0.7142857142857143, 0.7142857142857143, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]","[inf, 0.9997885823249817, 0.9991649985313416, 0.9659377336502075, 0.9520681500434875, 0.9218767285346985, 0.887719988822937, 0.7314994931221008, 0.32354578375816345, 0.30205103754997253, 0.13054785132408142, 0.03172130137681961, 0.02259667217731476, 0.016710378229618073, 0.006294709630310535, 0.004143599420785904]",7,8,7,7
,InstituteHold,4,Screen,0.839285714,0.666666667,0.705882353,"[0.0, 0.0, 0.0, 0.42857142857142855, 0.42857142857142855, 1.0]","[0.0, 0.125, 0.625, 0.625, 1.0, 1.0]","[inf, 0.9993764162063599, 0.9930910468101501, 0.8539577722549438, 0.3198237717151642, 0.00044011467252857983]",6,4,3,2,PreHold,0.166666667,0.5,0,"[0.0, 0.16666666666666666, 0.8333333333333334, 0.8333333333333334, 1.0]","[0.0, 0.0, 0.0, 1.0, 1.0]","[inf, 0.9215259552001953, 0.012940021231770515, 0.00200843857601285, 0.0013326918706297874]",0,4,2,2
,InstituteHold,4,Day 0,0.8125,0.714285714,0.75,"[0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 1.0]","[0.0, 0.125, 0.5, 0.5, 0.875, 0.875, 1.0, 1.0]","[inf, 0.9982557892799377, 0.9929615259170532, 0.9012819528579712, 0.4153960645198822, 0.34908533096313477, 0.04302254319190979, 0.002053508535027504]",6,4,2,2,PreHold,0.6,0.555555556,0.5,"[0.0, 0.0, 0.2, 0.2, 0.4, 0.4, 1.0, 1.0]","[0.0, 0.25, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0]","[inf, 0.9984984397888184, 0.6627140045166016, 0.561804473400116, 0.558774471282959, 0.10238100588321686, 0.007500547915697098, 0.005368940066546202]",2,3,2,2
,InstituteHold,4,Adj Wk 1,0.95,0.777777778,0.8,"[0.0, 0.0, 0.0, 0.25, 0.25, 1.0]","[0.0, 0.2, 0.8, 0.8, 1.0, 1.0]","[inf, 0.9995477199554443, 0.970947265625, 0.8507913947105408, 0.231431245803833, 0.0008011212339624763]",4,3,1,1,PreHold,0.944444444,0.777777778,0.666666667,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 1.0]","[0.0, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0]","[inf, 0.998610258102417, 0.9849236011505127, 0.7765003442764282, 0.2209795117378235, 0.0012931844685226679]",2,5,1,1
,InstituteHold,4,Overall,0.848739496,0.710526316,0.744186047,"[0.0, 0.0, 0.0, 0.058823529411764705, 0.058823529411764705, 0.11764705882352941, 0.11764705882352941, 0.35294117647058826, 0.35294117647058826, 0.4117647058823529, 0.4117647058823529, 1.0]","[0.0, 0.047619047619047616, 0.5238095238095238, 0.5238095238095238, 0.5714285714285714, 0.5714285714285714, 0.6190476190476191, 0.6190476190476191, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]","[inf, 0.9995477199554443, 0.9929615259170532, 0.9881665706634521, 0.975907564163208, 0.9739040732383728, 0.970947265625, 0.8507913947105408, 0.40561047196388245, 0.34908533096313477, 0.04302254319190979, 0.00044011467252857983]",16,11,6,5,PreHold,0.607843137,0.615384615,0.444444444,"[0.0, 0.0, 0.0, 0.23529411764705882, 0.23529411764705882, 0.4117647058823529, 0.4117647058823529, 0.47058823529411764, 0.47058823529411764, 0.7058823529411765, 0.7058823529411765, 0.8235294117647058, 0.8235294117647058, 0.8823529411764706, 0.8823529411764706, 1.0]","[0.0, 0.1111111111111111, 0.3333333333333333, 0.3333333333333333, 0.4444444444444444, 0.4444444444444444, 0.5555555555555556, 0.5555555555555556, 0.6666666666666666, 0.6666666666666666, 0.7777777777777778, 0.7777777777777778, 0.8888888888888888, 0.8888888888888888, 1.0, 1.0]","[inf, 0.998610258102417, 0.9849236011505127, 0.6627140045166016, 0.561804473400116, 0.28782522678375244, 0.2209795117378235, 0.12815618515014648, 0.10238100588321686, 0.012940021231770515, 0.012225622311234474, 0.007500547915697098, 0.005368940066546202, 0.0046586450189352036, 0.00200843857601285, 0.0012931844685226679]",4,12,5,5
,InstituteHold,5,Screen,0.892857143,0.733333333,0.777777778,"[0.0, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857, 0.2857142857142857, 0.42857142857142855, 0.42857142857142855, 1.0]","[0.0, 0.125, 0.625, 0.625, 0.75, 0.75, 0.875, 0.875, 1.0, 1.0]","[inf, 0.9981546998023987, 0.967781126499176, 0.9322524070739746, 0.8557758331298828, 0.833248496055603, 0.7796656489372253, 0.5294021964073181, 0.24453839659690857, 0.0009474220569245517]",7,4,3,1,PreHold,0.875,0.7,0.666666667,"[0.0, 0.0, 0.0, 0.5, 0.5, 1.0]","[0.0, 0.25, 0.75, 0.75, 1.0, 1.0]","[inf, 0.9996941089630127, 0.9995283484458923, 0.2564638555049896, 0.009487353265285492, 0.00017971641500480473]",3,4,2,1
,InstituteHold,5,Day 0,0.854166667,0.785714286,0.823529412,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.5, 0.5, 1.0]","[0.0, 0.125, 0.375, 0.375, 0.875, 0.875, 1.0, 1.0]","[inf, 0.993480920791626, 0.9750791788101196, 0.9696459770202637, 0.6296637654304504, 0.27660343050956726, 0.10392067581415176, 0.003622370073571801]",7,4,2,1,PreHold,0.75,0.875,0.857142857,"[0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.25, 0.75, 0.75, 1.0]","[inf, 0.9996262788772583, 0.9988774657249451, 0.0007743259193375707, 0.0007050217827782035]",3,4,0,1
,InstituteHold,5,Adj Wk 1,0.9,0.777777778,0.8,"[0.0, 0.0, 0.0, 0.5, 0.5, 1.0]","[0.0, 0.2, 0.8, 0.8, 1.0, 1.0]","[inf, 0.9992384910583496, 0.8617136478424072, 0.07228045165538788, 0.026707332581281662, 0.0015228488482534885]",4,3,1,1,PreHold,1,0.857142857,0.8,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.5, 1.0, 1.0]","[inf, 0.9993436932563782, 0.9972447156906128, 0.0003635473840404302]",2,4,1,0
,InstituteHold,5,Overall,0.885154062,0.763157895,0.8,"[0.0, 0.0, 0.0, 0.058823529411764705, 0.058823529411764705, 0.11764705882352941, 0.11764705882352941, 0.17647058823529413, 0.17647058823529413, 0.23529411764705882, 0.23529411764705882, 0.4117647058823529, 0.4117647058823529, 0.5294117647058824, 0.5294117647058824, 1.0]","[0.0, 0.047619047619047616, 0.47619047619047616, 0.47619047619047616, 0.5714285714285714, 0.5714285714285714, 0.7142857142857143, 0.7142857142857143, 0.8095238095238095, 0.8095238095238095, 0.8571428571428571, 0.8571428571428571, 0.9523809523809523, 0.9523809523809523, 1.0, 1.0]","[inf, 0.9992384910583496, 0.9724785685539246, 0.9696459770202637, 0.9415625929832458, 0.9322524070739746, 0.8557758331298828, 0.833248496055603, 0.685394287109375, 0.6731886863708496, 0.6296637654304504, 0.27660343050956726, 0.10392067581415176, 0.05401746183633804, 0.026707332581281662, 0.0009474220569245517]",18,11,6,3,PreHold,0.866666667,0.8,0.761904762,"[0.0, 0.0, 0.0, 0.4666666666666667, 0.4666666666666667, 0.8666666666666667, 0.8666666666666667, 1.0]","[0.0, 0.1, 0.8, 0.8, 0.9, 0.9, 1.0, 1.0]","[inf, 0.9996941089630127, 0.9972447156906128, 0.04920586571097374, 0.009487353265285492, 0.0007743259193375707, 0.0007050217827782035, 0.00017971641500480473]",8,12,3,2
,InstituteHold,6,Screen,0.952380952,0.923076923,0.909090909,"[0.0, 0.0, 0.0, 0.2857142857142857, 0.2857142857142857, 1.0]","[0.0, 0.16666666666666666, 0.8333333333333334, 0.8333333333333334, 1.0, 1.0]","[inf, 0.9674214124679565, 0.7587042450904846, 0.359131783246994, 0.34521621465682983, 0.022487128153443336]",5,7,0,1,PreHold,0.777777778,0.777777778,0.5,"[0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.5, 0.5, 1.0]","[0.0, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0]","[inf, 0.9159392714500427, 0.43283823132514954, 0.30967050790786743, 0.26045939326286316, 0.16408441960811615, 0.02156314067542553]",1,6,0,2
,InstituteHold,6,Day 0,0.916666667,0.833333333,0.857142857,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 1.0]","[0.0, 0.16666666666666666, 0.6666666666666666, 0.6666666666666666, 0.8333333333333334, 0.8333333333333334, 1.0, 1.0]","[inf, 0.9695720076560974, 0.8970389366149902, 0.8080094456672668, 0.685215175151825, 0.6840314269065857, 0.637587308883667, 0.020366305485367775]",6,4,2,0,PreHold,0.666666667,0.444444444,0,"[0.0, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 1.0]","[0.0, 0.0, 0.0, 1.0, 1.0]","[inf, 0.8010061979293823, 0.6034387350082397, 0.0784604549407959, 0.022131577134132385]",0,4,2,3
,InstituteHold,6,Adj Wk 1,1,0.857142857,0.8,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.3333333333333333, 1.0, 1.0]","[inf, 0.8939363360404968, 0.41816848516464233, 0.07225629687309265]",2,4,0,1,PreHold,0.555555556,0.666666667,0.4,"[0.0, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.8333333333333334, 0.8333333333333334, 1.0]","[0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0]","[inf, 0.7617124319076538, 0.7451934814453125, 0.35550493001937866, 0.31952592730522156, 0.043959841132164, 0.009404019452631474, 0.005888292100280523]",1,5,1,2
,InstituteHold,6,Overall,0.956862745,0.875,0.866666667,"[0.0, 0.0, 0.0, 0.058823529411764705, 0.058823529411764705, 0.11764705882352941, 0.11764705882352941, 0.17647058823529413, 0.17647058823529413, 0.23529411764705882, 0.23529411764705882, 1.0]","[0.0, 0.06666666666666667, 0.6666666666666666, 0.6666666666666666, 0.8, 0.8, 0.8666666666666667, 0.8666666666666667, 0.9333333333333333, 0.9333333333333333, 1.0, 1.0]","[inf, 0.9695720076560974, 0.8130108118057251, 0.8080094456672668, 0.685215175151825, 0.6840314269065857, 0.637587308883667, 0.49194806814193726, 0.41816848516464233, 0.359131783246994, 0.34521621465682983, 0.020366305485367775]",13,15,2,2,PreHold,0.62962963,0.62962963,0.285714286,"[0.0, 0.0, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.2222222222222222, 0.2777777777777778, 0.2777777777777778, 0.4444444444444444, 0.4444444444444444, 0.6111111111111112, 0.6111111111111112, 0.9444444444444444, 0.9444444444444444, 1.0]","[0.0, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.2222222222222222, 0.3333333333333333, 0.3333333333333333, 0.5555555555555556, 0.5555555555555556, 0.7777777777777778, 0.7777777777777778, 0.8888888888888888, 0.8888888888888888, 1.0, 1.0]","[inf, 0.9159392714500427, 0.7617124319076538, 0.7451934814453125, 0.43283823132514954, 0.4026976525783539, 0.35550493001937866, 0.30967050790786743, 0.24113309383392334, 0.15782704949378967, 0.08201994001865387, 0.0784604549407959, 0.02156314067542553, 0.009404019452631474, 0.005888292100280523]",2,15,3,7
,InstituteHold,7,Screen,0.8,0.692307692,0.777777778,"[0.0, 0.0, 0.0, 0.4, 0.4, 0.6, 0.6, 1.0]","[0.0, 0.125, 0.625, 0.625, 0.75, 0.75, 1.0, 1.0]","[inf, 0.998497486114502, 0.9708648324012756, 0.8949242830276489, 0.6865881085395813, 0.6620078682899475, 0.4212961792945862, 0.0016472970601171255]",7,2,3,1,PreHold,0.625,0.6,0.5,"[0.0, 0.0, 0.0, 0.5, 0.5, 1.0, 1.0]","[0.0, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0]","[inf, 0.9995089769363403, 0.9921912550926208, 0.48063743114471436, 0.414733350276947, 0.01452607475221157, 0.004449945874512196]",2,4,2,2
,InstituteHold,7,Day 0,0.75,0.692307692,0.75,"[0.0, 0.0, 0.0, 0.2, 0.2, 0.4, 0.4, 0.6, 0.6, 1.0]","[0.0, 0.125, 0.25, 0.25, 0.625, 0.625, 0.875, 0.875, 1.0, 1.0]","[inf, 0.9940256476402283, 0.9920209050178528, 0.9646834135055542, 0.7496450543403625, 0.5718268156051636, 0.435555636882782, 0.23599067330360413, 0.04919949918985367, 0.015485644340515137]",6,3,2,2,PreHold,0.875,0.75,0.75,"[0.0, 0.0, 0.0, 0.5, 0.5, 1.0]","[0.0, 0.25, 0.75, 0.75, 1.0, 1.0]","[inf, 0.998974621295929, 0.7841035723686218, 0.20372547209262848, 0.1766277253627777, 0.011153694242238998]",3,3,1,1
,InstituteHold,7,Adj Wk 1,0.9,0.714285714,0.8,"[0.0, 0.0, 0.0, 0.5, 0.5, 1.0]","[0.0, 0.2, 0.8, 0.8, 1.0, 1.0]","[inf, 0.9994416832923889, 0.9578979015350342, 0.6297776103019714, 0.14189530909061432, 0.006149785127490759]",4,1,1,1,PreHold,0.611111111,0.777777778,0.5,"[0.0, 0.0, 0.5, 0.5, 0.6666666666666666, 0.6666666666666666, 1.0]","[0.0, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0]","[inf, 0.9997494220733643, 0.16866447031497955, 0.1310039609670639, 0.1018216460943222, 0.06014212965965271, 0.007993930950760841]",1,6,0,2
