Original Institue Holdout and Pre-HoldOut,,,,,,,,,,,,,,,,,,,,,,,,
,accuracy,f1,precision,recall,balanced_ac,roc_auc,tn,fp,fn,tp,roc_curve,fold,,,,,,,,,,,,
,0.625,0.66666667,0.75,0.6,0.63333333,0.73333333,2,1,2,3,"{'fpr': [0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 1.0, 1.0], 'tpr': [0.0, 0.2, 0.6, 0.6, 0.8, 0.8, 1.0], 'thresholds': [inf, 0.9988358020782471, 0.9789941310882568, 0.9694996476173401, 0.43416857719421387, 0.009946187026798725, 0.006572863552719355]}",MDS_Pre_Hold_Out_Day_0,,,,,,,,,,,,
,1,1,1,1,1,1,5,0,0,3,"{'fpr': [0.0, 0.0, 0.0, 1.0], 'tpr': [0.0, 0.3333333333333333, 1.0, 1.0], 'thresholds': [inf, 0.99989253282547, 0.9910378456115723, 0.0011638104915618896]}",MDS_Pre_Hold_Out_Adj_Wk_1,,,,,,,,,,,,
,0.8,0.7826087,0.81818182,0.75,0.79807692,0.8525641,11,2,3,9,"{'fpr': [0.0, 0.0, 0.0, 0.07692307692307693, 0.07692307692307693, 0.15384615384615385, 0.15384615384615385, 0.6923076923076923, 0.6923076923076923, 0.8461538461538461, 0.8461538461538461, 1.0], 'tpr': [0.0, 0.08333333333333333, 0.6666666666666666, 0.6666666666666666, 0.75, 0.75, 0.8333333333333334, 0.8333333333333334, 0.9166666666666666, 0.9166666666666666, 1.0, 1.0], 'thresholds': [inf, 0.9999662041664124, 0.9791274666786194, 0.9695289731025696, 0.6075140833854675, 0.5313201546669006, 0.4335328936576843, 0.046745408326387405, 0.01954612322151661, 0.00986420176923275, 0.0065575260668993, 0.0009889195207506418]}",MDS_Pre_Hold_Out_Overall,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Repeat Institute Hold,,,,,,,,,,,,,,,,,,,,,,,
,Type ->,Holdout Institutes,Visit,ROC_AUC,Accuracy,F1,FPR,TPR,Thresholds,tp,tn,fp,fn,Type ->,ROC_AUC,Accuracy,F1,FPR,TPR,Thresholds,tp,tn,fp,fn
,InstituteHold,"1,2",Screen,0.81140351,0.5483871,0.61111111,"[0.0, 0.0, 0.0, 0.15789473684210525, 0.15789473684210525, 0.21052631578947367, 0.21052631578947367, 0.631578947368421, 0.631578947368421, 0.8421052631578947, 0.8421052631578947, 1.0]","[0.0, 0.08333333333333333, 0.5, 0.5, 0.5833333333333334, 0.5833333333333334, 0.8333333333333334, 0.8333333333333334, 0.9166666666666666, 0.9166666666666666, 1.0, 1.0]","[inf, 0.5833538174629211, 0.5599610209465027, 0.5434134602546692, 0.5431244969367981, 0.5414807200431824, 0.5287237167358398, 0.5069148540496826, 0.5058187246322632, 0.48536497354507446, 0.4775266647338867, 0.4168439209461212]",11,6,13,1,PreHold,0.65,0.666666667,0.666666667,"[0.0, 0.0, 0.2, 0.2, 1.0, 1.0]","[0.0, 0.25, 0.25, 0.75, 0.75, 1.0]","[inf, 0.584908664226532, 0.5762315392494202, 0.5338366031646729, 0.46669572591781616, 0.448836088180542]",3,3,2,1
,InstituteHold,"1,2",Day 0,0.94736842,0.62068966,0.62068966,"[0.0, 0.0, 0.0, 0.5263157894736842, 0.5263157894736842, 1.0]","[0.0, 0.1, 0.9, 0.9, 1.0, 1.0]","[inf, 0.5860600471496582, 0.542846143245697, 0.5012906789779663, 0.4993820786476135, 0.4345555007457733]",9,9,10,1,PreHold,0.866666667,0.625,0.727272727,"[0.0, 0.0, 0.0, 0.6666666666666666, 0.6666666666666666, 1.0]","[0.0, 0.2, 0.8, 0.8, 1.0, 1.0]","[inf, 0.5424104332923889, 0.5164429545402527, 0.5044743418693542, 0.44745752215385437, 0.44269347190856934]",4,1,2,1
,InstituteHold,"1,2",Adj Wk 1,0.83333333,0.52,0.6,"[0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 0.2, 0.2, 0.26666666666666666, 0.26666666666666666, 0.8666666666666667, 0.8666666666666667, 1.0]","[0.0, 0.1, 0.4, 0.4, 0.6, 0.6, 0.8, 0.8, 0.9, 0.9, 1.0, 1.0]","[inf, 0.5923680663108826, 0.5702604055404663, 0.5641067028045654, 0.558758020401001, 0.5446380972862244, 0.5326684713363647, 0.5291089415550232, 0.528150200843811, 0.49926498532295227, 0.49493634700775146, 0.4708390235900879]",9,4,11,1,PreHold,1,0.75,0.75,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.3333333333333333, 1.0, 1.0]","[inf, 0.5786641836166382, 0.5707578659057617, 0.4473687410354614]",3,3,2,0
,InstituteHold,"1,2",Overall,0.86556604,0.56470588,0.61052632,"[0.0, 0.0, 0.0, 0.018867924528301886, 0.018867924528301886, 0.05660377358490566, 0.05660377358490566, 0.11320754716981132, 0.11320754716981132, 0.1509433962264151, 0.1509433962264151, 0.18867924528301888, 0.18867924528301888, 0.20754716981132076, 0.20754716981132076, 0.22641509433962265, 0.22641509433962265, 0.5471698113207547, 0.5471698113207547, 0.660377358490566, 0.660377358490566, 0.7358490566037735, 0.7358490566037735, 0.7924528301886793, 0.7924528301886793, 1.0]","[0.0, 0.03125, 0.46875, 0.46875, 0.59375, 0.59375, 0.625, 0.625, 0.6875, 0.6875, 0.71875, 0.71875, 0.75, 0.75, 0.8125, 0.8125, 0.875, 0.875, 0.90625, 0.90625, 0.9375, 0.9375, 0.96875, 0.96875, 1.0, 1.0]","[inf, 0.5923680663108826, 0.566551923751831, 0.5641067028045654, 0.5582988858222961, 0.5529482960700989, 0.5511841177940369, 0.5434134602546692, 0.542846143245697, 0.5414807200431824, 0.5411978363990784, 0.5340293645858765, 0.5333722233772278, 0.5330618023872375, 0.5298024415969849, 0.5291089415550232, 0.528150200843811, 0.5067095756530762, 0.5058187246322632, 0.4997265338897705, 0.4993820786476135, 0.49532610177993774, 0.49493634700775146, 0.4830172061920166, 0.4775266647338867, 0.4168439209461212]",29,19,34,3,PreHold,0.807692308,0.68,0.714285714,"[0.0, 0.0, 0.0, 0.07692307692307693, 0.07692307692307693, 0.15384615384615385, 0.15384615384615385, 0.8461538461538461, 0.8461538461538461, 1.0]","[0.0, 0.08333333333333333, 0.25, 0.25, 0.75, 0.75, 0.8333333333333334, 0.8333333333333334, 1.0, 1.0]","[inf, 0.584908664226532, 0.5776829719543457, 0.5762315392494202, 0.5338366031646729, 0.5190905928611755, 0.5164429545402527, 0.46669572591781616, 0.44745752215385437, 0.44269347190856934]",10,7,6,2
