"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","structural constituent of chromatin","GO:0030527","true","1.7857602008030812e-16","15.748176860374729","101","1636","41","20196","ENSG00000124635,ENSG00000196787,ENSG00000197903,ENSG00000274997,ENSG00000276180,ENSG00000124575,ENSG00000124610,ENSG00000158373,ENSG00000158406,ENSG00000168298,ENSG00000180573,ENSG00000180596,ENSG00000187475,ENSG00000187837,ENSG00000196866,ENSG00000197061,ENSG00000197409,ENSG00000273802,ENSG00000273983,ENSG00000274290,ENSG00000274618,ENSG00000274750,ENSG00000275663,ENSG00000275713,ENSG00000275714,ENSG00000276410,ENSG00000276966,ENSG00000277075,ENSG00000277157,ENSG00000277224,ENSG00000277775,ENSG00000278463,ENSG00000278588,ENSG00000278637,ENSG00000278705,ENSG00000282988,ENSG00000286522,ENSG00000287080,ENSG00000146047,ENSG00000164508,ENSG00000127483"
"GO:MF","trace-amine receptor activity","GO:0001594","true","0.00016481430531484456","3.783005095735567","6","1636","6","20196","ENSG00000135569,ENSG00000146378,ENSG00000146383,ENSG00000146385,ENSG00000146399,ENSG00000237110"
"GO:MF","interleukin-1 receptor activity","GO:0004908","true","0.001073864381583348","2.9690505622574848","7","1636","6","20196","ENSG00000196083,ENSG00000115590,ENSG00000115594,ENSG00000115598,ENSG00000115602,ENSG00000115604"
"GO:MF","protein heterodimerization activity","GO:0046982","true","0.025548464435579347","1.5926351975721404","364","1636","52","20196","ENSG00000124635,ENSG00000196787,ENSG00000197903,ENSG00000274997,ENSG00000276180,ENSG00000158373,ENSG00000158406,ENSG00000180573,ENSG00000180596,ENSG00000196866,ENSG00000197061,ENSG00000197409,ENSG00000273802,ENSG00000273983,ENSG00000274290,ENSG00000274618,ENSG00000274750,ENSG00000275663,ENSG00000275713,ENSG00000275714,ENSG00000276410,ENSG00000276966,ENSG00000277075,ENSG00000277157,ENSG00000277224,ENSG00000277775,ENSG00000278463,ENSG00000278588,ENSG00000278637,ENSG00000278705,ENSG00000282988,ENSG00000286522,ENSG00000287080,ENSG00000105971,ENSG00000203760,ENSG00000123095,ENSG00000117505,ENSG00000155876,ENSG00000145675,ENSG00000110975,ENSG00000106546,ENSG00000120907,ENSG00000159216,ENSG00000164167,ENSG00000167552,ENSG00000116717,ENSG00000165632,ENSG00000008196,ENSG00000100644,ENSG00000146047,ENSG00000164508,ENSG00000186625"
"GO:BP","nucleosome assembly","GO:0006334","true","1.075848544460698e-9","8.968248863367283","115","1685","36","21017","ENSG00000187109,ENSG00000124635,ENSG00000276180,ENSG00000124575,ENSG00000124610,ENSG00000158406,ENSG00000168298,ENSG00000180596,ENSG00000187475,ENSG00000187837,ENSG00000197061,ENSG00000197409,ENSG00000273802,ENSG00000273983,ENSG00000274290,ENSG00000274618,ENSG00000274750,ENSG00000275663,ENSG00000275713,ENSG00000275714,ENSG00000276410,ENSG00000276966,ENSG00000277157,ENSG00000277224,ENSG00000277775,ENSG00000278588,ENSG00000278637,ENSG00000278705,ENSG00000286522,ENSG00000287080,ENSG00000187189,ENSG00000189241,ENSG00000156650,ENSG00000180543,ENSG00000146047,ENSG00000127483"
"GO:BP","nucleosome organization","GO:0034728","false","4.404289479546515e-8","7.3561241440059115","135","1685","37","21017","ENSG00000187109,ENSG00000124635,ENSG00000276180,ENSG00000124575,ENSG00000124610,ENSG00000158406,ENSG00000168298,ENSG00000180596,ENSG00000187475,ENSG00000187837,ENSG00000197061,ENSG00000197409,ENSG00000273802,ENSG00000273983,ENSG00000274290,ENSG00000274618,ENSG00000274750,ENSG00000275663,ENSG00000275713,ENSG00000275714,ENSG00000276410,ENSG00000276966,ENSG00000277157,ENSG00000277224,ENSG00000277775,ENSG00000278588,ENSG00000278637,ENSG00000278705,ENSG00000286522,ENSG00000287080,ENSG00000187189,ENSG00000189241,ENSG00000189079,ENSG00000156650,ENSG00000180543,ENSG00000146047,ENSG00000127483"
"GO:BP","protein localization to CENP-A containing chromatin","GO:0061644","true","0.00004207145547294871","4.376012463192508","18","1685","11","21017","ENSG00000124635,ENSG00000276180,ENSG00000158406,ENSG00000197061,ENSG00000274618,ENSG00000276966,ENSG00000277075,ENSG00000277157,ENSG00000278463,ENSG00000278637,ENSG00000278705"
"GO:BP","protein-DNA complex assembly","GO:0065004","false","0.00004824102028895026","4.31658351552016","238","1685","46","21017","ENSG00000100519,ENSG00000187109,ENSG00000124635,ENSG00000276180,ENSG00000124575,ENSG00000124610,ENSG00000158406,ENSG00000168298,ENSG00000180596,ENSG00000187475,ENSG00000187837,ENSG00000197061,ENSG00000197409,ENSG00000273802,ENSG00000273983,ENSG00000274290,ENSG00000274618,ENSG00000274750,ENSG00000275663,ENSG00000275713,ENSG00000275714,ENSG00000276410,ENSG00000276966,ENSG00000277157,ENSG00000277224,ENSG00000277775,ENSG00000278588,ENSG00000278637,ENSG00000278705,ENSG00000286522,ENSG00000287080,ENSG00000135547,ENSG00000138778,ENSG00000187189,ENSG00000189241,ENSG00000203760,ENSG00000117505,ENSG00000156650,ENSG00000145241,ENSG00000180543,ENSG00000137947,ENSG00000051180,ENSG00000165632,ENSG00000146047,ENSG00000188312,ENSG00000127483"
"GO:BP","protein-DNA complex organization","GO:0071824","false","0.00009495338952803407","4.022489527745844","259","1685","48","21017","ENSG00000100519,ENSG00000187109,ENSG00000124635,ENSG00000276180,ENSG00000124575,ENSG00000124610,ENSG00000158406,ENSG00000168298,ENSG00000180596,ENSG00000187475,ENSG00000187837,ENSG00000197061,ENSG00000197409,ENSG00000273802,ENSG00000273983,ENSG00000274290,ENSG00000274618,ENSG00000274750,ENSG00000275663,ENSG00000275713,ENSG00000275714,ENSG00000276410,ENSG00000276966,ENSG00000277157,ENSG00000277224,ENSG00000277775,ENSG00000278588,ENSG00000278637,ENSG00000278705,ENSG00000286522,ENSG00000287080,ENSG00000135547,ENSG00000138778,ENSG00000187189,ENSG00000189241,ENSG00000203760,ENSG00000117505,ENSG00000189079,ENSG00000156650,ENSG00000145241,ENSG00000180543,ENSG00000137947,ENSG00000051180,ENSG00000165632,ENSG00000146047,ENSG00000153767,ENSG00000188312,ENSG00000127483"
"GO:BP","developmental process","GO:0032502","true","0.0009785079191284437","3.0094356552181747","6478","1685","611","21017","ENSG00000073712,ENSG00000197930,ENSG00000125245,ENSG00000169508,ENSG00000109458,ENSG00000091039,ENSG00000187109,ENSG00000127947,ENSG00000078328,ENSG00000128573,ENSG00000145242,ENSG00000152583,ENSG00000029559,ENSG00000118785,ENSG00000152591,ENSG00000152592,ENSG00000152595,ENSG00000146376,ENSG00000196569,ENSG00000106025,ENSG00000150625,ENSG00000080345,ENSG00000123610,ENSG00000183091,ENSG00000187240,ENSG00000107036,ENSG00000105281,ENSG00000105287,ENSG00000160007,ENSG00000160014,ENSG00000167414,ENSG00000181027,ENSG00000197380,ENSG00000000457,ENSG00000075945,ENSG00000162928,ENSG00000162929,ENSG00000067900,ENSG00000141449,ENSG00000116678,ENSG00000115839,ENSG00000111863,ENSG00000166225,ENSG00000198812,ENSG00000152601,ENSG00000046604,ENSG00000118276,ENSG00000114346,ENSG00000121858,ENSG00000144962,ENSG00000099139,ENSG00000134242,ENSG00000163349,ENSG00000276180,ENSG00000124508,ENSG00000124610,ENSG00000158406,ENSG00000187475,ENSG00000197061,ENSG00000274618,ENSG00000276966,ENSG00000277157,ENSG00000278637,ENSG00000278705,ENSG00000115760,ENSG00000106460,ENSG00000146530,ENSG00000006377,ENSG00000105880,ENSG00000231764,ENSG00000153976,ENSG00000168542,ENSG00000123977,ENSG00000173744,ENSG00000077092,ENSG00000080298,ENSG00000178053,ENSG00000111961,ENSG00000153310,ENSG00000155833,ENSG00000107438,ENSG00000105971,chr9:10000000:10500000,ENSG00000198626,ENSG00000156687,ENSG00000144339,ENSG00000135547,ENSG00000163288,ENSG00000170516,ENSG00000116729,ENSG00000116745,ENSG00000162595,ENSG00000088812,ENSG00000088836,ENSG00000088899,ENSG00000125787,ENSG00000198171,ENSG00000132842,ENSG00000145685,ENSG00000168014,ENSG00000109471,ENSG00000138688,ENSG00000164113,ENSG00000005108,ENSG00000106443,ENSG00000083223,ENSG00000109705,ENSG00000144619,ENSG00000007372,ENSG00000137642,ENSG00000002745,ENSG00000065883,ENSG00000173376,ENSG00000196083,ENSG00000146242,ENSG00000162692,ENSG00000178966,ENSG00000099246,ENSG00000150051,ENSG00000169126,ENSG00000164038,ENSG00000164039,ENSG00000111816,ENSG00000123500,ENSG00000049130,ENSG00000133641,ENSG00000198707,ENSG00000182185,ENSG00000148482,ENSG00000138433,ENSG00000217236,ENSG00000152214,ENSG00000123095,ENSG00000186788,ENSG00000189357,ENSG00000196781,ENSG00000214929,ENSG00000080618,ENSG00000123200,ENSG00000136167,ENSG00000170396,ENSG00000165973,ENSG00000113360,ENSG00000113361,ENSG00000115541,ENSG00000144381,ENSG00000152430,ENSG00000185532,ENSG00000103479,ENSG00000034971,ENSG00000117523,ENSG00000197959,ENSG00000158077,ENSG00000122694,ENSG00000122707,ENSG00000137075,ENSG00000185972,ENSG00000117505,ENSG00000143033,ENSG00000128645,ENSG00000128652,ENSG00000128709,ENSG00000128710,ENSG00000128713,ENSG00000128714,ENSG00000144320,ENSG00000170166,ENSG00000170178,ENSG00000174279,ENSG00000175879,ENSG00000125124,ENSG00000167005,ENSG00000139211,ENSG00000186367,ENSG00000084093,ENSG00000128040,ENSG00000171476,ENSG00000109851,ENSG00000109854,ENSG00000166833,ENSG00000049883,ENSG00000131711,ENSG00000138696,ENSG00000182168,ENSG00000108100,ENSG00000177283,ENSG00000177291,ENSG00000147650,ENSG00000164935,ENSG00000176406,ENSG00000183340,ENSG00000109738,ENSG00000021645,ENSG00000008083,ENSG00000145715,ENSG00000179915,ENSG00000115598,ENSG00000115602,ENSG00000115604,ENSG00000180251,ENSG00000171843,ENSG00000141376,ENSG00000112893,ENSG00000122507,ENSG00000185215,ENSG00000128699,ENSG00000138449,ENSG00000138675,ENSG00000152784,ENSG00000109756,ENSG00000005483,ENSG00000091127,ENSG00000135250,ENSG00000142875,ENSG00000174021,ENSG00000111732,ENSG00000166523,ENSG00000166527,ENSG00000197614,ENSG00000237378,ENSG00000285566,ENSG00000177565,ENSG00000112378,ENSG00000135540,ENSG00000111962,ENSG00000075884,ENSG00000144824,ENSG00000144834,ENSG00000177494,ENSG00000204217,ENSG00000165379,ENSG00000113532,ENSG00000042813,ENSG00000132436,ENSG00000132437,ENSG00000164500,ENSG00000185811,ENSG00000120798,ENSG00000180263,ENSG00000134121,ENSG00000152818,ENSG00000166575,ENSG00000138311,ENSG00000150347,ENSG00000182010,ENSG00000083093,ENSG00000166501,ENSG00000166847,ENSG00000116161,ENSG00000204406,ENSG00000182621,ENSG00000174482,ENSG00000189079,ENSG00000003400,ENSG00000003402,ENSG00000064012,ENSG00000082146,ENSG00000115993,ENSG00000155754,ENSG00000153823,ENSG00000080200,ENSG00000080224,ENSG00000113966,ENSG00000102466,ENSG00000198846,ENSG00000054803,ENSG00000082701,ENSG00000121577,ENSG00000121594,ENSG00000144852,ENSG00000183833,ENSG00000168743,ENSG00000169760,ENSG00000165682,ENSG00000205301,ENSG00000036257,ENSG00000135905,ENSG00000080371,ENSG00000139292,ENSG00000054938,ENSG00000164796,ENSG00000171189,ENSG00000148498,ENSG00000087053,ENSG00000166037,ENSG00000079393,ENSG00000148655,ENSG00000156650,ENSG00000165655,ENSG00000188716,ENSG00000148943,ENSG00000176697,ENSG00000124788,ENSG00000023445,ENSG00000110330,ENSG00000137693,ENSG00000164128,ENSG00000164129,ENSG00000005810,ENSG00000102805,ENSG00000061656,ENSG00000149646,ENSG00000214078,ENSG00000197971,ENSG00000145675,ENSG00000172175,ENSG00000198796,ENSG00000142731,ENSG00000151475,ENSG00000164066,ENSG00000164073,ENSG00000033178,ENSG00000035720,ENSG00000020129,ENSG00000092847,ENSG00000116819,ENSG00000134698,ENSG00000142687,ENSG00000134138,ENSG00000112299,ENSG00000104324,ENSG00000113448,ENSG00000012232,ENSG00000104290,ENSG00000150275,ENSG00000111837,ENSG00000111843,ENSG00000111845,ENSG00000111846,ENSG00000124827,ENSG00000137210,ENSG00000163508,ENSG00000119185,ENSG00000143797,ENSG00000151694,ENSG00000123307,ENSG00000044115,ENSG00000113013,ENSG00000146006,ENSG00000134982,ENSG00000137845,ENSG00000157450,ENSG00000102755,ENSG00000122025,ENSG00000074966,ENSG00000075539,ENSG00000135605,ENSG00000182223,ENSG00000080815,ENSG00000100767,ENSG00000133961,ENSG00000170468,ENSG00000006451,ENSG00000115306,ENSG00000115310,ENSG00000109814,ENSG00000121897,ENSG00000157796,ENSG00000189184,ENSG00000170365,ENSG00000057294,ENSG00000087470,ENSG00000139132,ENSG00000170873,ENSG00000040199,ENSG00000166747,ENSG00000182149,ENSG00000224470,ENSG00000277481,ENSG00000114638,ENSG00000163389,ENSG00000186854,ENSG00000106546,ENSG00000139174,ENSG00000092964,ENSG00000120907,ENSG00000116044,ENSG00000078579,ENSG00000104219,ENSG00000240857,ENSG00000081913,ENSG00000139220,ENSG00000163110,ENSG00000143355,ENSG00000103657,ENSG00000171540,ENSG00000139304,ENSG00000144285,ENSG00000169432,ENSG00000012504,ENSG00000163394,ENSG00000168214,ENSG00000118492,ENSG00000118508,ENSG00000158258,ENSG00000170624,ENSG00000021574,ENSG00000145757,ENSG00000164292,ENSG00000110911,ENSG00000139610,ENSG00000139910,ENSG00000162643,ENSG00000171517,ENSG00000017260,ENSG00000055208,ENSG00000169379,ENSG00000152332,ENSG00000162733,ENSG00000164035,ENSG00000159200,ENSG00000159216,ENSG00000180509,ENSG00000169085,ENSG00000185697,ENSG00000261787,ENSG00000114933,ENSG00000114948,ENSG00000204186,ENSG00000081307,ENSG00000113971,ENSG00000138246,ENSG00000156140,ENSG00000114209,ENSG00000163536,ENSG00000166509,ENSG00000186153,ENSG00000152977,ENSG00000174963,ENSG00000101752,ENSG00000117090,ENSG00000122224,ENSG00000158769,ENSG00000162739,ENSG00000120519,ENSG00000139549,ENSG00000139636,ENSG00000167548,ENSG00000167552,ENSG00000181929,ENSG00000186897,ENSG00000139926,ENSG00000133835,ENSG00000072518,ENSG00000133318,ENSG00000133321,ENSG00000176485,ENSG00000136327,ENSG00000136352,ENSG00000198807,ENSG00000021826,ENSG00000078018,ENSG00000104313,ENSG00000178860,ENSG00000123191,ENSG00000139668,ENSG00000133116,ENSG00000133121,ENSG00000170390,ENSG00000188107,ENSG00000041982,ENSG00000124766,ENSG00000166006,ENSG00000008277,ENSG00000075303,ENSG00000134744,ENSG00000163806,ENSG00000163811,ENSG00000058085,ENSG00000135862,ENSG00000157064,ENSG00000073910,ENSG00000139618,ENSG00000189167,ENSG00000244754,ENSG00000163092,ENSG00000123119,ENSG00000180694,ENSG00000136068,ENSG00000163687,ENSG00000152763,ENSG00000118113,ENSG00000137674,ENSG00000137745,ENSG00000262406,ENSG00000187955,ENSG00000173406,ENSG00000082175,ENSG00000165588,ENSG00000170775,ENSG00000114439,ENSG00000181541,ENSG00000107796,ENSG00000173239,ENSG00000204020,ENSG00000204021,ENSG00000071054,ENSG00000134987,ENSG00000152495,ENSG00000028839,ENSG00000112319,ENSG00000118526,ENSG00000146411,ENSG00000172575,ENSG00000082641,ENSG00000129116,ENSG00000114861,ENSG00000144290,ENSG00000175183,ENSG00000186908,ENSG00000128891,ENSG00000128908,ENSG00000128917,ENSG00000128965,ENSG00000137812,ENSG00000137824,ENSG00000166140,ENSG00000166145,ENSG00000188277,ENSG00000064989,ENSG00000113296,ENSG00000152380,ENSG00000164300,ENSG00000148935,ENSG00000133639,ENSG00000078674,ENSG00000104760,ENSG00000116717,ENSG00000078725,ENSG00000187871,ENSG00000182447,ENSG00000198963,ENSG00000145824,ENSG00000145826,ENSG00000145839,ENSG00000181965,ENSG00000111581,ENSG00000127314,ENSG00000135678,ENSG00000135679,ENSG00000091409,ENSG00000115844,ENSG00000144355,ENSG00000181744,ENSG00000008196,ENSG00000008197,ENSG00000179431,ENSG00000131558,ENSG00000027075,ENSG00000100644,ENSG00000168280,ENSG00000168959,ENSG00000042781,ENSG00000146047,ENSG00000178568,ENSG00000179059,ENSG00000020426,ENSG00000100625,ENSG00000126778,ENSG00000179008,ENSG00000184302,ENSG00000178235,ENSG00000128881,ENSG00000009307,ENSG00000198765,ENSG00000213281,ENSG00000144840,ENSG00000136535,ENSG00000140396,ENSG00000147596,ENSG00000107372,ENSG00000119125,ENSG00000106809,ENSG00000106819,ENSG00000196305,ENSG00000164588,ENSG00000174607,ENSG00000185565,ENSG00000198914,ENSG00000106341,ENSG00000163638,ENSG00000095596,ENSG00000138180,ENSG00000187553,ENSG00000124813,ENSG00000081051,ENSG00000132466,ENSG00000048540,ENSG00000154654,ENSG00000114019,ENSG00000163785,ENSG00000182923,ENSG00000180530,ENSG00000114573,ENSG00000176542,ENSG00000153029,ENSG00000168843,ENSG00000131023,ENSG00000074771,ENSG00000146426,ENSG00000075151,ENSG00000090432,ENSG00000158828,ENSG00000145147,ENSG00000090520,ENSG00000113838,ENSG00000113905,ENSG00000145192,ENSG00000181092,ENSG00000213139,ENSG00000166068"
