Original Institue Holdout and Pre-HoldOut,,,,,,,,,,,,,,,,,,,,
split_no,accuracy,f1,precision,recall,balanced_accuracy,roc_auc,,,,,,,,,,,,,,
Institute Hold-Out,0.812,0.842,0.8,0.889,0.802,0.841,,,,,,,,,,,,,,
Pre-Hold Out,0.9,0.889,1,0.8,0.9,0.92,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Repeat Institute Hold,,,,,,,,,,,,,,,,,,,,
Type ->,Holdout Institutes,ROC_AUC,Accuracy,F1,FPR,TPR,tp,tn,fp,fn,Type ->,ROC_AUC,Accuracy,F1,FPR,TPR,tp,tn,fp,fn
InstituteHold,37,0.982142857,0.866666667,0.875,"[0.0, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 1.0]","[0.0, 0.125, 0.875, 0.875, 1.0, 1.0]",7,6,1,1,PreHold,0.84,0.8,0.75,"[0.0, 0.0, 0.0, 0.8, 0.8, 1.0]","[0.0, 0.2, 0.8, 0.8, 1.0, 1.0]",3,5,0,2
InstituteHold,38,0.907407407,0.866666667,0.888888889,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.6666666666666666, 0.6666666666666666, 1.0]","[0.0, 0.1111111111111111, 0.7777777777777778, 0.7777777777777778, 0.8888888888888888, 0.8888888888888888, 1.0, 1.0]",8,5,1,1,PreHold,0.666666667,0.5,0.285714286,"[0.0, 0.0, 0.42857142857142855, 0.42857142857142855, 0.5714285714285714, 0.5714285714285714, 1.0]","[0.0, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0]",1,4,3,2
InstituteHold,39,0.888888889,0.733333333,0.777777778,"[0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 1.0]","[0.0, 0.1111111111111111, 0.7777777777777778, 0.7777777777777778, 0.8888888888888888, 0.8888888888888888, 1.0, 1.0]",7,4,2,2,PreHold,0.916666667,0.8,0.666666667,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 1.0]","[0.0, 0.25, 0.5, 0.5, 1.0, 1.0]",2,6,0,2
InstituteHold,40,0.946428571,0.866666667,0.875,"[0.0, 0.0, 0.0, 0.42857142857142855, 0.42857142857142855, 1.0]","[0.0, 0.125, 0.875, 0.875, 1.0, 1.0]",7,6,1,1,PreHold,0.833333333,0.6,0.333333333,"[0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 1.0]","[0.0, 0.25, 0.25, 0.75, 0.75, 1.0, 1.0]",1,5,1,3
InstituteHold,41,0.933333333,0.857142857,0.888888889,"[0.0, 0.0, 0.0, 0.6, 0.6, 1.0]","[0.0, 0.1111111111111111, 0.8888888888888888, 0.8888888888888888, 1.0, 1.0]",8,4,1,1,PreHold,0.222222222,0.4,0,"[0.0, 0.1111111111111111, 0.7777777777777778, 0.7777777777777778, 1.0]","[0.0, 0.0, 0.0, 1.0, 1.0]",0,4,5,1
InstituteHold,42,0.825,0.846153846,0.875,"[0.0, 0.0, 0.0, 0.2, 0.2, 0.8, 0.8, 1.0]","[0.0, 0.125, 0.5, 0.5, 0.875, 0.875, 1.0, 1.0]",7,4,1,1,PreHold,0.952380952,0.9,0.8,"[0.0, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 1.0]","[0.0, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0]",2,7,0,1
InstituteHold,43,0.821428571,0.818181818,0.857142857,"[0.0, 0.0, 0.0, 0.25, 0.25, 1.0, 1.0]","[0.0, 0.14285714285714285, 0.7142857142857143, 0.7142857142857143, 0.8571428571428571, 0.8571428571428571, 1.0]",6,3,1,1,PreHold,1,0.9,0.8,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.5, 1.0, 1.0]",2,7,1,0
InstituteHold,44,1,0.923076923,0.923076923,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.16666666666666666, 1.0, 1.0]",6,6,1,0,PreHold,0.80952381,0.6,0.6,"[0.0, 0.0, 0.0, 0.6666666666666666, 0.6666666666666666, 1.0]","[0.0, 0.14285714285714285, 0.7142857142857143, 0.7142857142857143, 1.0, 1.0]",3,3,0,4
InstituteHold,46,1,1,1,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.2, 1.0, 1.0]",5,6,0,0,PreHold,0.666666667,0.6,0.5,"[0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.8333333333333334, 0.8333333333333334, 1.0]","[0.0, 0.25, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0, 1.0]",2,4,2,2
InstituteHold,47,0.920634921,0.875,0.888888889,"[0.0, 0.0, 0.0, 0.7142857142857143, 0.7142857142857143, 1.0]","[0.0, 0.1111111111111111, 0.8888888888888888, 0.8888888888888888, 1.0, 1.0]",8,6,1,1,PreHold,0.833333333,0.6,0.6,"[0.0, 0.0, 0.0, 0.25, 0.25, 1.0]","[0.0, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 1.0, 1.0]",3,3,1,3
InstituteHold,48,0.9,0.923076923,0.933333333,"[0.0, 0.0, 0.0, 0.8, 0.8, 1.0]","[0.0, 0.125, 0.875, 0.875, 1.0, 1.0]",7,5,0,1,PreHold,0.714285714,0.5,0.285714286,"[0.0, 0.0, 0.42857142857142855, 0.42857142857142855, 1.0]","[0.0, 0.3333333333333333, 0.3333333333333333, 1.0, 1.0]",1,4,3,2
InstituteHold,49,1,1,1,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.125, 1.0, 1.0]",8,6,0,0,PreHold,0.791666667,0.8,0.75,"[0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.5, 0.5, 1.0]","[0.0, 0.25, 0.25, 0.75, 0.75, 1.0, 1.0]",3,5,1,1
InstituteHold,50,0.880952381,0.769230769,0.769230769,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 1.0]","[0.0, 0.14285714285714285, 0.42857142857142855, 0.42857142857142855, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]",5,5,1,2,PreHold,0.72,0.5,0.444444444,"[0.0, 0.0, 0.0, 0.4, 0.4, 0.6, 0.6, 1.0]","[0.0, 0.2, 0.4, 0.4, 0.8, 0.8, 1.0, 1.0]",2,3,2,3
InstituteHold,51,0.833333333,0.785714286,0.8,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.6666666666666666, 0.6666666666666666, 1.0]","[0.0, 0.125, 0.375, 0.375, 0.875, 0.875, 1.0, 1.0]",6,5,1,2,PreHold,0.857142857,0.7,0.769230769,"[0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 1.0]","[0.0, 0.14285714285714285, 0.5714285714285714, 0.5714285714285714, 1.0, 1.0]",5,2,1,2
InstituteHold,52,0.9375,0.916666667,0.941176471,"[0.0, 0.0, 0.0, 0.25, 0.25, 1.0]","[0.0, 0.125, 0.75, 0.75, 1.0, 1.0]",8,3,1,0,PreHold,0.64,0.5,0.444444444,"[0.0, 0.0, 0.0, 0.4, 0.4, 0.6, 0.6, 0.8, 0.8, 1.0]","[0.0, 0.2, 0.4, 0.4, 0.6, 0.6, 0.8, 0.8, 1.0, 1.0]",2,3,2,3
InstituteHold,53,0.895833333,0.857142857,0.875,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.6666666666666666, 0.6666666666666666, 1.0]","[0.0, 0.125, 0.75, 0.75, 0.875, 0.875, 1.0, 1.0]",7,5,1,1,PreHold,0.958333333,0.8,0.8,"[0.0, 0.0, 0.0, 0.25, 0.25, 1.0]","[0.0, 0.16666666666666666, 0.8333333333333334, 0.8333333333333334, 1.0, 1.0]",4,4,0,2
InstituteHold,54,0.944444444,0.8,0.842105263,"[0.0, 0.0, 0.0, 0.5, 0.5, 1.0]","[0.0, 0.1111111111111111, 0.8888888888888888, 0.8888888888888888, 1.0, 1.0]",8,4,2,1,PreHold,0.714285714,0.5,0.444444444,"[0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 0.7142857142857143, 0.7142857142857143, 1.0]","[0.0, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0]",2,3,4,1
InstituteHold,55,0.928571429,0.846153846,0.857142857,"[0.0, 0.0, 0.0, 0.5, 0.5, 1.0]","[0.0, 0.14285714285714285, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]",6,5,1,1,PreHold,0.714285714,0.5,0.285714286,"[0.0, 0.0, 0.42857142857142855, 0.42857142857142855, 1.0]","[0.0, 0.3333333333333333, 0.3333333333333333, 1.0, 1.0]",1,4,3,2
InstituteHold,56,0.857142857,0.923076923,0.933333333,"[0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 1.0]","[0.0, 0.14285714285714285, 0.14285714285714285, 1.0, 1.0]",7,5,1,0,PreHold,0.541666667,0.7,0.571428571,"[0.0, 0.0, 0.0, 0.8333333333333334, 0.8333333333333334, 1.0, 1.0]","[0.0, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0]",2,5,1,2
InstituteHold,57,0.833333333,0.846153846,0.857142857,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.6666666666666666, 0.6666666666666666, 1.0]","[0.0, 0.14285714285714285, 0.42857142857142855, 0.42857142857142855, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]",6,5,1,1,PreHold,0.88,0.7,0.666666667,"[0.0, 0.0, 0.0, 0.2, 0.2, 1.0]","[0.0, 0.2, 0.4, 0.4, 1.0, 1.0]",3,4,1,2
InstituteHold,58,0.880952381,0.846153846,0.833333333,"[0.0, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 0.5714285714285714, 0.5714285714285714, 1.0]","[0.0, 0.16666666666666666, 0.6666666666666666, 0.6666666666666666, 0.8333333333333334, 0.8333333333333334, 1.0, 1.0]",5,6,1,1,PreHold,0.952380952,0.9,0.923076923,"[0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 1.0]","[0.0, 0.14285714285714285, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]",6,3,0,1
InstituteHold,59,0.928571429,0.846153846,0.833333333,"[0.0, 0.0, 0.0, 0.42857142857142855, 0.42857142857142855, 1.0]","[0.0, 0.16666666666666666, 0.8333333333333334, 0.8333333333333334, 1.0, 1.0]",5,6,1,1,PreHold,0.666666667,0.7,0.571428571,"[0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.8333333333333334, 0.8333333333333334, 1.0]","[0.0, 0.25, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0, 1.0]",2,5,1,2
InstituteHold,60,0.880952381,0.769230769,0.769230769,"[0.0, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 0.5714285714285714, 0.5714285714285714, 1.0]","[0.0, 0.16666666666666666, 0.6666666666666666, 0.6666666666666666, 0.8333333333333334, 0.8333333333333334, 1.0, 1.0]",5,5,2,1,PreHold,1,0.7,0.8,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.16666666666666666, 1.0, 1.0]",6,1,3,0
InstituteHold,61,0.928571429,0.8,0.8,"[0.0, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 0.42857142857142855, 0.42857142857142855, 1.0]","[0.0, 0.125, 0.75, 0.75, 0.875, 0.875, 1.0, 1.0]",6,6,1,2,PreHold,0.857142857,0.6,0.666666667,"[0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 1.0]","[0.0, 0.14285714285714285, 0.5714285714285714, 0.5714285714285714, 1.0, 1.0]",4,2,1,3
InstituteHold,62,0.875,0.818181818,0.875,"[0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 1.0]","[0.0, 0.125, 0.625, 0.625, 1.0, 1.0]",7,2,1,1,PreHold,0.80952381,0.6,0.5,"[0.0, 0.0, 0.0, 0.5714285714285714, 0.5714285714285714, 1.0]","[0.0, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0]",2,4,3,1
InstituteHold,63,0.958333333,0.857142857,0.875,"[0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 1.0]","[0.0, 0.125, 0.875, 0.875, 1.0, 1.0]",7,5,1,1,PreHold,0.666666667,0.8,0.666666667,"[0.0, 0.0, 0.0, 0.5, 0.5, 0.8333333333333334, 0.8333333333333334, 1.0]","[0.0, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0, 1.0]",2,6,0,2
InstituteHold,64,0.946428571,0.933333333,0.941176471,"[0.0, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 1.0]","[0.0, 0.125, 0.625, 0.625, 1.0, 1.0]",8,6,1,0,PreHold,0.523809524,0.6,0.333333333,"[0.0, 0.0, 0.7142857142857143, 0.7142857142857143, 1.0]","[0.0, 0.3333333333333333, 0.3333333333333333, 1.0, 1.0]",1,5,2,2
InstituteHold,65,1,0.909090909,0.923076923,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.16666666666666666, 1.0, 1.0]",6,4,1,0,PreHold,0.583333333,0.5,0.545454545,"[0.0, 0.0, 0.25, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0]","[0.0, 0.16666666666666666, 0.16666666666666666, 0.5, 0.5, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0]",3,2,2,3
InstituteHold,66,0.955555556,0.785714286,0.842105263,"[0.0, 0.0, 0.0, 0.4, 0.4, 1.0]","[0.0, 0.1111111111111111, 0.8888888888888888, 0.8888888888888888, 1.0, 1.0]",8,3,2,1,PreHold,0.875,0.8,0.8,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 1.0]","[0.0, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0, 1.0]",4,4,2,0
InstituteHold,67,0.976190476,0.923076923,0.923076923,"[0.0, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 1.0]","[0.0, 0.16666666666666666, 0.8333333333333334, 0.8333333333333334, 1.0, 1.0]",6,6,1,0,PreHold,0.625,0.6,0.5,"[0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.6666666666666666, 0.6666666666666666, 1.0]","[0.0, 0.25, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0, 1.0]",2,4,2,2
InstituteHold,68,0.971428571,0.833333333,0.857142857,"[0.0, 0.0, 0.0, 0.2, 0.2, 1.0]","[0.0, 0.14285714285714285, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]",6,4,1,1,PreHold,0.458333333,0.5,0.444444444,"[0.0, 0.0, 0.25, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0, 1.0]","[0.0, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.8333333333333334, 0.8333333333333334, 1.0]",2,3,1,4
InstituteHold,69,0.944444444,0.866666667,0.888888889,"[0.0, 0.0, 0.0, 0.5, 0.5, 1.0]","[0.0, 0.1111111111111111, 0.8888888888888888, 0.8888888888888888, 1.0, 1.0]",8,5,1,1,PreHold,0.76,0.7,0.666666667,"[0.0, 0.0, 0.0, 0.6, 0.6, 1.0]","[0.0, 0.2, 0.6, 0.6, 1.0, 1.0]",3,4,1,2
InstituteHold,70,0.976190476,0.846153846,0.857142857,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 1.0]","[0.0, 0.14285714285714285, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]",6,5,1,1,PreHold,0.875,0.9,0.888888889,"[0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 1.0]","[0.0, 0.25, 0.25, 1.0, 1.0]",4,5,1,0
InstituteHold,71,0.979166667,0.928571429,0.933333333,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 1.0]","[0.0, 0.125, 0.875, 0.875, 1.0, 1.0]",7,6,0,1,PreHold,0.714285714,0.5,0.444444444,"[0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 0.7142857142857143, 0.7142857142857143, 1.0]","[0.0, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0]",2,3,4,1
InstituteHold,72,0.979166667,0.857142857,0.875,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 1.0]","[0.0, 0.125, 0.875, 0.875, 1.0, 1.0]",7,5,1,1,PreHold,0.8,0.6,0.5,"[0.0, 0.0, 0.0, 0.2, 0.2, 0.6, 0.6, 1.0]","[0.0, 0.2, 0.4, 0.4, 0.8, 0.8, 1.0, 1.0]",2,4,1,3
InstituteHold,73,0.9,0.923076923,0.941176471,"[0.0, 0.0, 0.0, 0.2, 0.2, 1.0]","[0.0, 0.125, 0.5, 0.5, 1.0, 1.0]",8,4,1,0,PreHold,0.380952381,0.5,0.285714286,"[0.0, 0.0, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]","[0.0, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 1.0]",1,4,3,2
InstituteHold,74,0.944444444,0.8,0.842105263,"[0.0, 0.0, 0.0, 0.5, 0.5, 1.0]","[0.0, 0.1111111111111111, 0.8888888888888888, 0.8888888888888888, 1.0, 1.0]",8,4,2,1,PreHold,0.761904762,0.6,0.5,"[0.0, 0.14285714285714285, 0.14285714285714285, 0.42857142857142855, 0.42857142857142855, 1.0]","[0.0, 0.0, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0]",2,4,3,1
InstituteHold,75,0.982142857,0.866666667,0.888888889,"[0.0, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 1.0]","[0.0, 0.125, 0.875, 0.875, 1.0, 1.0]",8,5,2,0,PreHold,0.416666667,0.5,0.444444444,"[0.0, 0.0, 0.5, 0.5, 0.8333333333333334, 0.8333333333333334, 1.0, 1.0]","[0.0, 0.25, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0]",2,3,3,2
InstituteHold,76,0.90625,0.833333333,0.875,"[0.0, 0.0, 0.0, 0.75, 0.75, 1.0]","[0.0, 0.125, 0.875, 0.875, 1.0, 1.0]",7,3,1,1,PreHold,0.904761905,0.8,0.75,"[0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 1.0]","[0.0, 0.3333333333333333, 0.3333333333333333, 1.0, 1.0]",3,5,2,0
InstituteHold,77,0.833333333,0.846153846,0.833333333,"[0.0, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 0.5714285714285714, 0.5714285714285714, 1.0]","[0.0, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.8333333333333334, 0.8333333333333334, 1.0, 1.0]",5,6,1,1,PreHold,0.916666667,0.8,0.857142857,"[0.0, 0.0, 0.0, 0.5, 0.5, 1.0]","[0.0, 0.16666666666666666, 0.8333333333333334, 0.8333333333333334, 1.0, 1.0]",6,2,2,0
InstituteHold,78,0.880952381,0.846153846,0.857142857,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.6666666666666666, 0.6666666666666666, 1.0]","[0.0, 0.14285714285714285, 0.7142857142857143, 0.7142857142857143, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]",6,5,1,1,PreHold,0.88,0.7,0.571428571,"[0.0, 0.0, 0.0, 0.6, 0.6, 1.0]","[0.0, 0.2, 0.8, 0.8, 1.0, 1.0]",2,5,0,3
InstituteHold,79,0.857142857,0.75,0.8,"[0.0, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 0.5714285714285714, 0.5714285714285714, 1.0]","[0.0, 0.1111111111111111, 0.3333333333333333, 0.3333333333333333, 0.8888888888888888, 0.8888888888888888, 1.0, 1.0]",8,4,3,1,PreHold,0.666666667,0.6,0.6,"[0.0, 0.0, 0.0, 0.25, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0]","[0.0, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.8333333333333334, 0.8333333333333334, 1.0, 1.0]",3,3,1,3
InstituteHold,80,0.979591837,0.928571429,0.933333333,"[0.0, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 1.0]","[0.0, 0.14285714285714285, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]",7,6,1,0,PreHold,0.75,0.6,0.333333333,"[0.0, 0.16666666666666666, 0.16666666666666666, 0.5, 0.5, 1.0]","[0.0, 0.0, 0.75, 0.75, 1.0, 1.0]",1,5,1,3
InstituteHold,81,0.866666667,0.909090909,0.909090909,"[0.0, 0.0, 0.0, 0.8, 0.8, 1.0]","[0.0, 0.16666666666666666, 0.8333333333333334, 0.8333333333333334, 1.0, 1.0]",5,5,0,1,PreHold,0.916666667,0.9,0.923076923,"[0.0, 0.0, 0.0, 0.25, 0.25, 1.0]","[0.0, 0.16666666666666666, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0]",6,3,1,0
InstituteHold,82,0.888888889,0.875,0.888888889,"[0.0, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 0.5714285714285714, 0.5714285714285714, 1.0]","[0.0, 0.1111111111111111, 0.5555555555555556, 0.5555555555555556, 0.8888888888888888, 0.8888888888888888, 1.0, 1.0]",8,6,1,1,PreHold,0.76,0.6,0.6,"[0.0, 0.0, 0.0, 0.6, 0.6, 1.0]","[0.0, 0.2, 0.6, 0.6, 1.0, 1.0]",3,3,2,2
InstituteHold,83,1,1,1,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.16666666666666666, 1.0, 1.0]",6,5,0,0,PreHold,0.6,0.5,0.615384615,"[0.0, 0.0, 0.0, 0.2, 0.2, 0.8, 0.8, 1.0, 1.0]","[0.0, 0.2, 0.4, 0.4, 0.6, 0.6, 0.8, 0.8, 1.0]",4,1,4,1
InstituteHold,84,0.95,0.923076923,0.941176471,"[0.0, 0.0, 0.0, 0.2, 0.2, 1.0]","[0.0, 0.125, 0.75, 0.75, 1.0, 1.0]",8,4,1,0,PreHold,0.75,0.6,0.5,"[0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 1.0]","[0.0, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0, 1.0]",2,4,2,2
InstituteHold,85,0.920634921,0.875,0.888888889,"[0.0, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 0.5714285714285714, 0.5714285714285714, 1.0]","[0.0, 0.1111111111111111, 0.7777777777777778, 0.7777777777777778, 0.8888888888888888, 0.8888888888888888, 1.0, 1.0]",8,6,1,1,PreHold,0.9375,0.5,0.545454545,"[0.0, 0.0, 0.0, 0.5, 0.5, 1.0]","[0.0, 0.125, 0.875, 0.875, 1.0, 1.0]",3,2,0,5
InstituteHold,86,0.976190476,0.923076923,0.923076923,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 1.0]","[0.0, 0.14285714285714285, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]",6,6,0,1,PreHold,0.72,0.5,0.285714286,"[0.0, 0.0, 0.2, 0.2, 0.4, 0.4, 0.6, 0.6, 1.0]","[0.0, 0.2, 0.2, 0.6, 0.6, 0.8, 0.8, 1.0, 1.0]",1,4,1,4
InstituteHold,87,0.875,0.866666667,0.875,"[0.0, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 0.7142857142857143, 0.7142857142857143, 1.0]","[0.0, 0.125, 0.625, 0.625, 0.875, 0.875, 1.0, 1.0]",7,6,1,1,PreHold,0.791666667,0.8,0.8,"[0.0, 0.0, 0.0, 0.25, 0.25, 1.0, 1.0]","[0.0, 0.16666666666666666, 0.6666666666666666, 0.6666666666666666, 0.8333333333333334, 0.8333333333333334, 1.0]",4,4,0,2
InstituteHold,88,0.933333333,0.857142857,0.888888889,"[0.0, 0.0, 0.0, 0.6, 0.6, 1.0]","[0.0, 0.1111111111111111, 0.8888888888888888, 0.8888888888888888, 1.0, 1.0]",8,4,1,1,PreHold,0.666666667,0.6,0.5,"[0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 1.0, 1.0]","[0.0, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0]",2,4,2,2
InstituteHold,89,0.975,0.923076923,0.941176471,"[0.0, 0.0, 0.0, 0.2, 0.2, 1.0]","[0.0, 0.125, 0.875, 0.875, 1.0, 1.0]",8,4,1,0,PreHold,0.857142857,0.8,0.75,"[0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857, 0.2857142857142857, 1.0]","[0.0, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0]",3,5,2,0
InstituteHold,90,0.955555556,0.857142857,0.888888889,"[0.0, 0.0, 0.0, 0.4, 0.4, 1.0]","[0.0, 0.1111111111111111, 0.8888888888888888, 0.8888888888888888, 1.0, 1.0]",8,4,1,1,PreHold,0.714285714,0.6,0.5,"[0.0, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857, 0.2857142857142857, 0.42857142857142855, 0.42857142857142855, 1.0]","[0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0]",2,4,3,1
InstituteHold,91,0.857142857,0.785714286,0.8,"[0.0, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 0.5714285714285714, 0.5714285714285714, 1.0]","[0.0, 0.14285714285714285, 0.42857142857142855, 0.42857142857142855, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]",6,5,2,1,PreHold,1,0.9,0.857142857,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.25, 1.0, 1.0]",3,6,0,1
InstituteHold,92,0.910714286,0.8,0.823529412,"[0.0, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 0.42857142857142855, 0.42857142857142855, 1.0]","[0.0, 0.125, 0.625, 0.625, 0.875, 0.875, 1.0, 1.0]",7,5,2,1,PreHold,0.84,0.8,0.75,"[0.0, 0.0, 0.0, 0.4, 0.4, 1.0]","[0.0, 0.2, 0.6, 0.6, 1.0, 1.0]",3,5,0,2
InstituteHold,94,0.95,0.923076923,0.933333333,"[0.0, 0.0, 0.0, 0.4, 0.4, 1.0]","[0.0, 0.125, 0.875, 0.875, 1.0, 1.0]",7,5,0,1,PreHold,0.72,0.6,0.666666667,"[0.0, 0.0, 0.0, 0.6, 0.6, 0.8, 0.8, 1.0]","[0.0, 0.2, 0.6, 0.6, 0.8, 0.8, 1.0, 1.0]",4,2,3,1
InstituteHold,95,0.952380952,0.769230769,0.8,"[0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 1.0]","[0.0, 0.14285714285714285, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]",6,4,2,1,PreHold,0.84,0.8,0.8,"[0.0, 0.0, 0.2, 0.2, 1.0]","[0.0, 0.2, 0.2, 1.0, 1.0]",4,4,1,1
InstituteHold,96,0.821428571,0.866666667,0.875,"[0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 0.5714285714285714, 0.5714285714285714, 1.0]","[0.0, 0.125, 0.125, 0.875, 0.875, 1.0, 1.0]",7,6,1,1,PreHold,0.833333333,0.7,0.727272727,"[0.0, 0.0, 0.0, 0.5, 0.5, 1.0]","[0.0, 0.16666666666666666, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0]",4,3,1,2
