Original Institue Holdout and Pre-HoldOut,,,,,,,,,,,,,,,,,,,,
split_no,accuracy,f1,precision,recall,balanced_accuracy,roc_auc,,,,,,,,,,,,,,
Institute Hold-Out,0.812,0.842,0.8,0.889,0.802,0.841,,,,,,,,,,,,,,
Pre-Hold Out,0.9,0.889,1,0.8,0.9,0.92,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Repeat Institute Hold,,,,,,,,,,,,,,,,,,,,
Type ->,Holdout Institutes,ROC_AUC,Accuracy,F1,FPR,TPR,tp,tn,fp,fn,Type ->,ROC_AUC,Accuracy,F1,FPR,TPR,tp,tn,fp,fn
InstituteHold,"4,5",0.979166667,0.928571429,0.941176471,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 1.0]","[0.0, 0.125, 0.875, 0.875, 1.0, 1.0]",8,5,1,0,PreHold,0.8,0.6,0.6,"[0.0, 0.0, 0.0, 0.4, 0.4, 0.6, 0.6, 1.0]","[0.0, 0.2, 0.6, 0.6, 0.8, 0.8, 1.0, 1.0]",3,3,2,2
InstituteHold,"4,6",1,0.944444444,0.947368421,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.1111111111111111, 1.0, 1.0]",9,8,1,0,PreHold,0.8,0.6,0.6,"[0.0, 0.0, 0.0, 0.4, 0.4, 0.6, 0.6, 1.0]","[0.0, 0.2, 0.6, 0.6, 0.8, 0.8, 1.0, 1.0]",3,3,2,2
InstituteHold,"5,6",0.936507937,0.8125,0.842105263,"[0.0, 0.0, 0.0, 0.5714285714285714, 0.5714285714285714, 1.0]","[0.0, 0.1111111111111111, 0.8888888888888888, 0.8888888888888888, 1.0, 1.0]",8,5,2,1,PreHold,0.92,0.9,0.888888889,"[0.0, 0.0, 0.0, 0.4, 0.4, 1.0]","[0.0, 0.2, 0.8, 0.8, 1.0, 1.0]",4,5,0,1
,,,,,,,,,,,,,,,,,,,,
Repeat PreHold,,,,,,,,,,,,,,,,,,,,
Type ->,Holdout Repeat,ROC_AUC,Accuracy,F1,FPR,TPR,tp,tn,fp,fn,Type ->,ROC_AUC,Accuracy,F1,FPR,TPR,tp,tn,fp,fn
InstituteHold,0,0.93877551,0.857142857,0.857142857,"[0.0, 0.0, 0.0, 0.42857142857142855, 0.42857142857142855, 1.0]","[0.0, 0.14285714285714285, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]",6,6,1,1,PreHold,0.541666667,0.5,0.444444444,"[0.0, 0.0, 0.25, 0.25, 0.75, 0.75, 1.0]","[0.0, 0.16666666666666666, 0.16666666666666666, 0.5, 0.5, 1.0, 1.0]",2,3,1,4
InstituteHold,1,0.920634921,0.8125,0.842105263,"[0.0, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 0.5714285714285714, 0.5714285714285714, 1.0]","[0.0, 0.1111111111111111, 0.7777777777777778, 0.7777777777777778, 0.8888888888888888, 0.8888888888888888, 1.0, 1.0]",8,5,2,1,PreHold,0.952380952,0.8,0.666666667,"[0.0, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 1.0]","[0.0, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0]",2,6,1,1
InstituteHold,2,0.9375,0.785714286,0.823529412,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 1.0]","[0.0, 0.125, 0.75, 0.75, 0.875, 0.875, 1.0, 1.0]",7,4,2,1,PreHold,0.761904762,0.8,0.666666667,"[0.0, 0.0, 0.0, 0.7142857142857143, 0.7142857142857143, 1.0]","[0.0, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0]",2,6,1,1
InstituteHold,3,0.95,0.923076923,0.933333333,"[0.0, 0.0, 0.0, 0.4, 0.4, 1.0]","[0.0, 0.125, 0.875, 0.875, 1.0, 1.0]",7,5,0,1,PreHold,0.48,0.5,0.444444444,"[0.0, 0.0, 0.2, 0.2, 0.6, 0.6, 0.8, 0.8, 1.0, 1.0]","[0.0, 0.2, 0.2, 0.4, 0.4, 0.6, 0.6, 0.8, 0.8, 1.0]",2,3,2,3
InstituteHold,4,0.857142857,0.8125,0.842105263,"[0.0, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 0.5714285714285714, 0.5714285714285714, 1.0]","[0.0, 0.1111111111111111, 0.3333333333333333, 0.3333333333333333, 0.8888888888888888, 0.8888888888888888, 1.0, 1.0]",8,5,2,1,PreHold,0.708333333,0.6,0.5,"[0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 1.0]","[0.0, 0.25, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0, 1.0]",2,4,2,2
InstituteHold,5,0.873015873,0.875,0.888888889,"[0.0, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 0.5714285714285714, 0.5714285714285714, 1.0]","[0.0, 0.1111111111111111, 0.4444444444444444, 0.4444444444444444, 0.8888888888888888, 0.8888888888888888, 1.0, 1.0]",8,6,1,1,PreHold,0.833333333,0.7,0.666666667,"[0.0, 0.0, 0.0, 0.6666666666666666, 0.6666666666666666, 1.0]","[0.0, 0.25, 0.75, 0.75, 1.0, 1.0]",3,4,2,1
InstituteHold,6,0.976190476,0.923076923,0.923076923,"[0.0, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 1.0]","[0.0, 0.16666666666666666, 0.8333333333333334, 0.8333333333333334, 1.0, 1.0]",6,6,1,0,PreHold,0.625,0.6,0.333333333,"[0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.8333333333333334, 0.8333333333333334, 1.0]","[0.0, 0.25, 0.25, 0.75, 0.75, 1.0, 1.0]",1,5,1,3
InstituteHold,7,0.8,0.857142857,0.888888889,"[0.0, 0.0, 0.0, 0.2, 0.2, 0.8, 0.8, 1.0]","[0.0, 0.1111111111111111, 0.3333333333333333, 0.3333333333333333, 0.8888888888888888, 0.8888888888888888, 1.0, 1.0]",8,4,1,1,PreHold,0.75,0.7,0.571428571,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.8333333333333334, 0.8333333333333334, 1.0]","[0.0, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0, 1.0]",2,5,1,2
InstituteHold,8,1,0.9,0.888888889,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.25, 1.0, 1.0]",4,5,1,0,PreHold,0.714285714,0.7,0.769230769,"[0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 1.0]","[0.0, 0.14285714285714285, 0.2857142857142857, 0.2857142857142857, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]",5,2,1,2
InstituteHold,9,0.958333333,0.9,0.857142857,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 1.0]","[0.0, 0.25, 0.75, 0.75, 1.0, 1.0]",3,6,0,1,PreHold,0.541666667,0.6,0.6,"[0.0, 0.0, 0.0, 0.25, 0.25, 0.75, 0.75, 1.0, 1.0]","[0.0, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.8333333333333334, 0.8333333333333334, 1.0]",3,3,1,3
InstituteHold,10,0.928571429,0.846153846,0.857142857,"[0.0, 0.0, 0.0, 0.5, 0.5, 1.0]","[0.0, 0.14285714285714285, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]",6,5,1,1,PreHold,0.833333333,0.7,0.666666667,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.5, 0.5, 1.0]","[0.0, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0, 1.0]",3,4,2,1
InstituteHold,11,0.914285714,0.833333333,0.857142857,"[0.0, 0.0, 0.0, 0.2, 0.2, 0.4, 0.4, 1.0]","[0.0, 0.14285714285714285, 0.7142857142857143, 0.7142857142857143, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]",6,4,1,1,PreHold,0.958333333,0.8,0.8,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 1.0]","[0.0, 0.25, 0.75, 0.75, 1.0, 1.0]",4,4,2,0
