Level,Type,Holdout Institutes,Visit,ROC_AUC,Accuracy,F1,FPR,TPR,Thresholds,tp,tn,fp,fn
sample,Institute,"2,5",Screen,0.9333333333333333,0.8181818181818182,0.8333333333333334,"[0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 1.0]","[0.0, 0.2, 0.8, 0.8, 1.0, 1.0]","[inf, 0.9820773601531982, 0.8471107482910156, 0.8093404173851013, 0.6224226355552673, 0.0015046512708067894]",5,4,2,0
sample,Institute,"2,5",Day 0,0.9583333333333334,0.8,0.8,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 1.0]","[0.0, 0.25, 0.75, 0.75, 1.0, 1.0]","[inf, 0.9658384323120117, 0.9283921122550964, 0.8606348037719727, 0.718441903591156, 0.006482027471065521]",4,4,2,0
sample,Institute,"2,5",Adj Wk 1,0.9500000000000001,0.8888888888888888,0.8888888888888888,"[0.0, 0.0, 0.0, 0.2, 0.2, 1.0]","[0.0, 0.25, 0.75, 0.75, 1.0, 1.0]","[inf, 0.9992700219154358, 0.9197101593017578, 0.6603457927703857, 0.6145707964897156, 0.03808603063225746]",4,4,1,0
sample,Institute,"2,5",Overall,0.9321266968325791,0.8333333333333334,0.8387096774193549,"[0.0, 0.0, 0.0, 0.058823529411764705, 0.058823529411764705, 0.17647058823529413, 0.17647058823529413, 0.29411764705882354, 0.29411764705882354, 1.0]","[0.0, 0.07692307692307693, 0.6153846153846154, 0.6153846153846154, 0.7692307692307693, 0.7692307692307693, 0.8461538461538461, 0.8461538461538461, 1.0, 1.0]","[inf, 0.9992700219154358, 0.9197101593017578, 0.8606348037719727, 0.8471107482910156, 0.8093404173851013, 0.718441903591156, 0.6603457927703857, 0.6145707964897156, 0.0015046512708067894]",13,12,5,0
sample,Institute,"2,6",Screen,1.0,0.8571428571428571,0.8333333333333334,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.2, 1.0, 1.0]","[inf, 0.9971212148666382, 0.9084265232086182, 0.0004821131005883217]",5,7,2,0
sample,Institute,"2,6",Day 0,0.9375,0.8571428571428571,0.8333333333333334,"[0.0, 0.0, 0.0, 0.125, 0.125, 0.25, 0.25, 1.0]","[0.0, 0.16666666666666666, 0.6666666666666666, 0.6666666666666666, 0.8333333333333334, 0.8333333333333334, 1.0, 1.0]","[inf, 0.999057948589325, 0.974675714969635, 0.9614720344543457, 0.9498202204704285, 0.40449145436286926, 0.33481311798095703, 0.0007458863547071815]",5,7,1,1
sample,Institute,"2,6",Adj Wk 1,0.9333333333333333,0.75,0.5,"[0.0, 0.0, 0.0, 0.2, 0.2, 1.0]","[0.0, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0]","[inf, 0.9847412705421448, 0.3599889874458313, 0.17848215997219086, 0.15838003158569336, 0.005763197783380747]",1,5,0,2
sample,Institute,"2,6",Overall,0.948051948051948,0.8333333333333334,0.7857142857142857,"[0.0, 0.0, 0.0, 0.045454545454545456, 0.045454545454545456, 0.18181818181818182, 0.18181818181818182, 0.2727272727272727, 0.2727272727272727, 1.0]","[0.0, 0.07142857142857142, 0.6428571428571429, 0.6428571428571429, 0.7857142857142857, 0.7857142857142857, 0.9285714285714286, 0.9285714285714286, 1.0, 1.0]","[inf, 0.999057948589325, 0.9732219576835632, 0.9614720344543457, 0.9084265232086182, 0.40449145436286926, 0.33481311798095703, 0.17848215997219086, 0.15838003158569336, 0.0004821131005883217]",11,19,3,3
sample,Institute,"3,4",Screen,0.7083333333333333,0.7,0.6666666666666666,"[0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.8333333333333334, 0.8333333333333334, 1.0]","[0.0, 0.25, 0.25, 0.75, 0.75, 1.0, 1.0]","[inf, 0.9835359454154968, 0.9496286511421204, 0.7853614687919617, 0.03988243266940117, 0.025306064635515213, 0.006945476867258549]",3,4,2,1
sample,Institute,"3,4",Day 0,0.9,0.8888888888888888,0.9090909090909091,"[0.0, 0.0, 0.0, 0.25, 0.25, 1.0]","[0.0, 0.2, 0.6, 0.6, 1.0, 1.0]","[inf, 0.9381764531135559, 0.8583266735076904, 0.7773686051368713, 0.5551931262016296, 0.00278177740983665]",5,3,1,0
